UTC time,creation_time (UTC),version,coal,nat_gas,hydro,solar,wind,other
2025-05-03 00:00:00,2025-05-08 01:08:32,3.0,1521.0,775.0,244.0,2287.0,498.0,94.0
2025-05-03 01:00:00,2025-05-08 01:08:32,3.0,1674.0,1040.0,247.0,1906.0,381.0,93.0
2025-05-03 02:00:00,2025-05-08 01:08:32,3.0,2609.0,1302.0,244.0,726.0,279.0,95.0
2025-05-03 03:00:00,2025-05-08 01:08:32,3.0,3424.0,1464.0,243.0,15.0,361.0,98.0
2025-05-03 04:00:00,2025-05-08 01:08:32,3.0,3187.0,1467.0,245.0,0.0,550.0,99.0
2025-05-03 05:00:00,2025-05-08 01:08:32,3.0,2876.0,1394.0,242.0,0.0,811.0,99.0
2025-05-03 06:00:00,2025-05-08 01:08:32,3.0,2757.0,1242.0,245.0,0.0,967.0,100.0
2025-05-03 07:00:00,2025-05-08 01:08:32,3.0,2483.0,1134.0,241.0,0.0,985.0,102.0
2025-05-03 08:00:00,2025-05-08 01:08:32,3.0,2337.0,1054.0,246.0,0.0,932.0,101.0
2025-05-03 09:00:00,2025-05-08 01:08:32,3.0,2034.0,1050.0,245.0,0.0,760.0,105.0
2025-05-03 10:00:00,2025-05-08 01:08:32,3.0,1828.0,1058.0,243.0,0.0,753.0,108.0
2025-05-03 11:00:00,2025-05-08 01:08:32,3.0,1901.0,1063.0,244.0,0.0,699.0,106.0
2025-05-03 12:00:00,2025-05-08 01:08:32,3.0,1963.0,1063.0,243.0,0.0,751.0,105.0
2025-05-03 13:00:00,2025-05-08 01:08:32,3.0,2443.0,1028.0,246.0,48.0,769.0,104.0
2025-05-03 14:00:00,2025-05-08 01:08:32,3.0,1980.0,919.0,245.0,968.0,647.0,105.0
2025-05-03 15:00:00,2025-05-08 01:08:32,3.0,1294.0,474.0,247.0,2004.0,518.0,102.0
2025-05-03 16:00:00,2025-05-08 01:08:32,3.0,1328.0,523.0,250.0,2357.0,566.0,100.0
2025-05-03 17:00:00,2025-05-08 01:08:32,3.0,1544.0,505.0,247.0,2286.0,551.0,99.0
2025-05-03 18:00:00,2025-05-08 01:08:32,3.0,1398.0,455.0,254.0,2330.0,570.0,97.0
2025-05-03 19:00:00,2025-05-08 01:08:32,3.0,1423.0,473.0,248.0,2259.0,783.0,94.0
2025-05-03 20:00:00,2025-05-08 01:08:32,3.0,1386.0,529.0,249.0,2128.0,684.0,94.0
2025-05-03 21:00:00,2025-05-08 01:08:32,3.0,1368.0,690.0,248.0,1876.0,488.0,92.0
2025-05-03 22:00:00,2025-05-08 01:08:32,3.0,1258.0,897.0,248.0,2038.0,377.0,94.0
2025-05-03 23:00:00,2025-05-08 01:08:32,3.0,1442.0,1009.0,246.0,2060.0,275.0,93.0
2025-05-04 00:00:00,2025-05-08 01:08:32,3.0,1648.0,1053.0,248.0,1800.0,141.0,95.0
2025-05-04 01:00:00,2025-05-08 01:08:32,3.0,1661.0,1046.5,247.5,1853.0,261.0,94.0
2025-05-04 02:00:00,2025-05-08 01:08:32,3.0,2135.0,1174.25,245.75,1289.5,270.0,94.5
2025-05-04 03:00:00,2025-05-08 01:08:32,3.0,2779.5,1319.125,244.375,652.25,315.5,96.25
2025-05-04 04:00:00,2025-05-08 01:08:32,3.0,2983.25,1393.0625,244.6875,326.125,432.75,97.625
2025-05-04 05:00:00,2025-05-08 01:08:32,3.0,2929.625,1393.53125,243.34375,163.0625,621.875,98.3125
2025-05-04 06:00:00,2025-05-08 01:08:32,3.0,2843.3125,1317.765625,244.171875,81.53125,794.4375,99.15625
2025-05-04 07:00:00,2025-05-08 01:08:32,3.0,2663.15625,1225.8828125,242.5859375,40.765625,889.71875,100.578125
2025-05-04 08:00:00,2025-05-08 01:08:32,3.0,2500.078125,1139.94140625,244.29296875,20.3828125,910.859375,100.7890625
2025-05-04 09:00:00,2025-05-08 01:08:32,3.0,2267.0390625,1094.970703125,244.646484375,10.19140625,835.4296875,102.89453125
2025-05-04 10:00:00,2025-05-08 01:08:32,3.0,2047.51953125,1076.4853515625,243.8232421875,5.095703125,794.21484375,105.447265625
2025-05-04 11:00:00,2025-05-08 01:08:32,3.0,1974.259765625,1069.74267578125,243.91162109375,2.5478515625,746.607421875,105.7236328125
2025-05-04 12:00:00,2025-05-08 01:08:32,3.0,1968.6298828125,1066.371337890625,243.455810546875,1.27392578125,748.8037109375,105.36181640625
2025-05-04 13:00:00,2025-05-08 01:08:32,3.0,2205.81494140625,1047.1856689453125,244.7279052734375,24.636962890625,758.90185546875,104.680908203125
2025-05-04 14:00:00,2025-05-08 01:08:32,3.0,2092.907470703125,983.0928344726562,244.86395263671875,496.3184814453125,702.950927734375,104.8404541015625
