datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2025-05-06 00:00:00,2025-05-08 22:24:46,3.0,4.463282359695359,279.5722571424043,274.36963398657355,67.88070885789062,1.3598879296788358,,,,9301.85008,2891.61996,
2025-05-06 01:00:00,2025-05-08 22:24:46,3.0,4.463282359695359,279.5722571424043,274.36963398657355,67.88070885789062,1.3598879296788358,,,,237.43436,772.80511,
2025-05-06 02:00:00,2025-05-08 22:24:46,3.0,4.463282359695359,279.5722571424043,274.36963398657355,67.88070885789062,1.3598879296788358,,,,184.88393,748.32108,
2025-05-06 03:00:00,2025-05-08 22:24:46,3.0,4.463282359695359,279.5722571424043,274.36963398657355,67.88070885789062,1.3598879296788358,,,,127.30443,731.1641,
2025-05-06 04:00:00,2025-05-08 22:24:46,3.0,3.6935100526505473,278.3178257073451,274.1987133435528,67.88070885789062,1.3598879296788358,,,,55.02891,737.69342,
2025-05-06 05:00:00,2025-05-08 22:24:46,3.0,3.6935100526505473,278.3178257073451,274.1987133435528,67.88070885789062,1.3598879296788358,,,,16.55856,724.3986,
2025-05-06 06:00:00,2025-05-08 22:24:46,3.0,3.6935100526505473,278.3178257073451,274.1987133435528,67.88070885789062,1.3598879296788358,,,,0.0,690.87264,
2025-05-06 07:00:00,2025-05-08 22:24:46,3.0,3.332916974202541,277.4621115909028,273.99382585500507,33.94026709918771,2.621134162424561,,,,0.0,664.5446,
2025-05-06 08:00:00,2025-05-08 22:24:46,3.0,3.332916974202541,277.4621115909028,273.99382585500507,33.94026709918771,2.621134162424561,,,,8.07241,651.48774,
2025-05-06 09:00:00,2025-05-08 22:24:46,3.0,3.332916974202541,277.4621115909028,273.99382585500507,33.94026709918771,2.621134162424561,,,,0.0,645.58277,
