datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast
2025-05-04 00:00:00,2025-05-08 01:08:32,3.0,3.185259280550823,286.9625246610042,275.0196041701927,134.8498842991628,0.1199969204689941,,,,,9624.52966,3816.18981
2025-05-04 01:00:00,2025-05-08 01:08:32,3.0,3.185259280550823,286.9625246610042,275.0196041701927,134.8498842991628,0.1199969204689941,,,,,57.29542,178.44126
2025-05-04 02:00:00,2025-05-08 01:08:32,3.0,3.185259280550823,286.9625246610042,275.0196041701927,134.8498842991628,0.1199969204689941,,,,,48.76966,180.1069
2025-05-04 03:00:00,2025-05-08 01:08:32,3.0,3.185259280550823,286.9625246610042,275.0196041701927,134.8498842991628,0.1199969204689941,,,,,44.11743,174.98146
2025-05-04 04:00:00,2025-05-08 01:08:32,3.0,3.245157712726001,284.7019087209691,274.83942884991336,134.8498842991628,0.1199969204689941,,,,,39.90446,182.38033
2025-05-04 05:00:00,2025-05-08 01:08:32,3.0,3.245157712726001,284.7019087209691,274.83942884991336,134.8498842991628,0.1199969204689941,,,,,29.70164,177.58202
2025-05-04 06:00:00,2025-05-08 01:08:32,3.0,3.245157712726001,284.7019087209691,274.83942884991336,134.8498842991628,0.1199969204689941,,,,,21.96538,174.84302
2025-05-04 07:00:00,2025-05-08 01:08:32,3.0,3.051599833228649,282.99528249475,274.72930822629894,67.4247792885189,0.3171175434407872,,,,,17.39602,172.57144
2025-05-04 08:00:00,2025-05-08 01:08:32,3.0,3.051599833228649,282.99528249475,274.72930822629894,67.4247792885189,0.3171175434407872,,,,,11.266,161.08108
2025-05-04 09:00:00,2025-05-08 01:08:32,3.0,3.051599833228649,282.99528249475,274.72930822629894,67.4247792885189,0.3171175434407872,,,,,10.31715,167.28383
2025-05-04 10:00:00,2025-05-08 01:08:32,3.0,2.829099171308128,281.6485799912484,274.59513869323814,0.0,0.503313589927403,,,,,12.05316,165.90292
2025-05-04 11:00:00,2025-05-08 01:08:32,3.0,2.829099171308128,281.6485799912484,274.59513869323814,0.0,0.503313589927403,,,,,14.05841,170.14802
2025-05-04 12:00:00,2025-05-08 01:08:32,3.0,2.829099171308128,281.6485799912484,274.59513869323814,0.0,0.503313589927403,,,,,14.83243,162.65759
2025-05-04 13:00:00,2025-05-08 01:08:32,3.0,3.645236408495828,286.00656092330667,275.7320253817585,0.0935661706017046,0.6463225225133774,,,,,20.34842,167.54883
2025-05-04 14:00:00,2025-05-08 01:08:32,3.0,3.645236408495828,286.00656092330667,275.7320253817585,0.0935661706017046,0.6463225225133774,,,,,24.91696,159.28307
2025-05-04 15:00:00,2025-05-08 01:08:32,3.0,3.645236408495828,286.00656092330667,275.7320253817585,0.0935661706017046,0.6463225225133774,,,,,27.4446,163.89747
2025-05-04 16:00:00,2025-05-08 01:08:32,3.0,4.412869205978343,289.5527393187441,275.7068792637164,187.3369121588472,0.7633175256359332,,,,,35.64764,162.91554
2025-05-04 17:00:00,2025-05-08 01:08:32,3.0,4.412869205978343,289.5527393187441,275.7068792637164,187.3369121588472,0.7633175256359332,,,,,41.72364,164.94524
2025-05-04 18:00:00,2025-05-08 01:08:32,3.0,4.412869205978343,289.5527393187441,275.7068792637164,187.3369121588472,0.7633175256359332,,,,,43.97869,158.10312
2025-05-04 19:00:00,2025-05-08 01:08:32,3.0,4.877082999817224,290.79113877583654,275.1767765877082,388.8814013596168,0.9411428542740086,,,,,44.9463,166.43674
2025-05-04 20:00:00,2025-05-08 01:08:32,3.0,4.877082999817224,290.79113877583654,275.1767765877082,388.8814013596168,0.9411428542740086,,,,,48.54514,166.80773
2025-05-04 21:00:00,2025-05-08 01:08:32,3.0,4.877082999817224,290.79113877583654,275.1767765877082,388.8814013596168,0.9411428542740086,,,,,52.91627,157.58546
2025-05-04 22:00:00,2025-05-08 01:08:32,3.0,5.096324627715688,288.9382602503166,275.9961160743283,710.9464340047979,1.266527086907312,,,,,56.14544,160.47615
2025-05-04 23:00:00,2025-05-08 01:08:32,3.0,5.096324627715688,288.9382602503166,275.9961160743283,710.9464340047979,1.266527086907312,,,,,62.13538,158.0951
2025-05-05 00:00:00,2025-05-08 01:08:32,3.0,5.096324627715688,288.9382602503166,275.9961160743283,710.9464340047979,1.266527086907312,,,,,9624.52966,3816.18981
2025-05-05 01:00:00,2025-05-08 01:08:32,3.0,4.634437673985615,284.1437217962306,276.77680332859074,587.7607848227998,1.789089333479042,,,,,4156.5,3868.60009
2025-05-05 02:00:00,2025-05-08 01:08:32,3.0,4.634437673985615,284.1437217962306,276.77680332859074,587.7607848227998,1.789089333479042,,,,,48.76966,180.1069
2025-05-05 03:00:00,2025-05-08 01:08:32,3.0,4.634437673985615,284.1437217962306,276.77680332859074,587.7607848227998,1.789089333479042,,,,,44.11743,174.98146
2025-05-05 04:00:00,2025-05-08 01:08:32,3.0,4.660706073960013,281.93211305606656,276.8238625117036,92.84020919342264,2.3734607823970726,,,,,39.90446,182.38033
2025-05-05 05:00:00,2025-05-08 01:08:32,3.0,4.660706073960013,281.93211305606656,276.8238625117036,92.84020919342264,2.3734607823970726,,,,,29.70164,177.58202
2025-05-05 06:00:00,2025-05-08 01:08:32,3.0,4.660706073960013,281.93211305606656,276.8238625117036,92.84020919342264,2.3734607823970726,,,,,21.96538,174.84302
2025-05-05 07:00:00,2025-05-08 01:08:32,3.0,4.445949076876698,280.1403417814671,276.6726086990015,46.420026276383325,2.853135044185402,,,,,17.39602,172.57144
