UTC time,creation_time (UTC),version,coal,nat_gas,oil,hydro,solar,wind
2025-05-03 00:00:00,2025-05-08 01:08:32,3.0,764.0,17.0,39.0,535.0,167.0,147.0
2025-05-03 01:00:00,2025-05-08 01:08:32,3.0,765.0,35.0,54.0,539.0,139.0,119.0
2025-05-03 02:00:00,2025-05-08 01:08:32,3.0,763.0,145.0,51.0,540.0,50.0,182.0
2025-05-03 03:00:00,2025-05-08 01:08:32,3.0,765.0,181.0,55.0,531.0,2.0,475.0
2025-05-03 04:00:00,2025-05-08 01:08:32,3.0,765.0,175.0,55.0,537.0,0.0,664.0
2025-05-03 05:00:00,2025-05-08 01:08:32,3.0,765.0,110.0,55.0,535.0,0.0,723.0
2025-05-03 06:00:00,2025-05-08 01:08:32,3.0,764.0,34.0,56.0,538.0,0.0,714.0
2025-05-03 07:00:00,2025-05-08 01:08:32,3.0,675.0,24.0,56.0,541.0,0.0,635.0
2025-05-03 08:00:00,2025-05-08 01:08:32,3.0,581.0,35.0,56.0,539.0,0.0,548.0
2025-05-03 09:00:00,2025-05-08 01:08:32,3.0,577.0,19.0,56.0,539.0,0.0,491.0
2025-05-03 10:00:00,2025-05-08 01:08:32,3.0,550.0,19.0,55.0,538.0,0.0,424.0
2025-05-03 11:00:00,2025-05-08 01:08:32,3.0,553.0,38.0,55.0,540.0,0.0,368.0
2025-05-03 12:00:00,2025-05-08 01:08:32,3.0,553.0,40.0,55.0,541.0,1.0,398.0
2025-05-03 13:00:00,2025-05-08 01:08:32,3.0,551.0,41.0,55.0,539.0,11.0,362.0
2025-05-03 14:00:00,2025-05-08 01:08:32,3.0,548.0,20.0,55.0,540.0,89.0,292.0
2025-05-03 15:00:00,2025-05-08 01:08:32,3.0,541.0,19.0,54.0,542.0,159.0,212.0
2025-05-03 16:00:00,2025-05-08 01:08:32,3.0,471.0,31.0,53.0,538.0,168.0,134.0
2025-05-03 17:00:00,2025-05-08 01:08:32,3.0,548.0,29.0,54.0,542.0,170.0,130.0
2025-05-03 18:00:00,2025-05-08 01:08:32,3.0,549.0,20.0,53.0,540.0,172.0,223.0
2025-05-03 19:00:00,2025-05-08 01:08:32,3.0,547.0,19.0,51.0,538.0,173.0,283.0
2025-05-03 20:00:00,2025-05-08 01:08:32,3.0,549.0,17.0,51.0,544.0,171.0,321.0
2025-05-03 21:00:00,2025-05-08 01:08:32,3.0,548.0,19.0,51.0,539.0,157.0,231.0
2025-05-03 22:00:00,2025-05-08 01:08:32,3.0,546.0,17.0,52.0,540.0,164.0,155.0
2025-05-03 23:00:00,2025-05-08 01:08:32,3.0,552.0,18.0,53.0,541.0,127.0,121.0
2025-05-04 00:00:00,2025-05-08 01:08:32,3.0,632.0,17.0,52.0,539.0,122.0,121.0
2025-05-04 01:00:00,2025-05-08 01:08:32,3.0,698.5,26.0,53.0,539.0,130.5,120.0
2025-05-04 02:00:00,2025-05-08 01:08:32,3.0,730.75,85.5,52.0,539.5,90.25,151.0
2025-05-04 03:00:00,2025-05-08 01:08:32,3.0,747.875,133.25,53.5,535.25,46.125,313.0
2025-05-04 04:00:00,2025-05-08 01:08:32,3.0,756.4375,154.125,54.25,536.125,23.0625,488.5
2025-05-04 05:00:00,2025-05-08 01:08:32,3.0,760.71875,132.0625,54.625,535.5625,11.53125,605.75
2025-05-04 06:00:00,2025-05-08 01:08:32,3.0,762.359375,83.03125,55.3125,536.78125,5.765625,659.875
2025-05-04 07:00:00,2025-05-08 01:08:32,3.0,718.6796875,53.515625,55.65625,538.890625,2.8828125,647.4375
2025-05-04 08:00:00,2025-05-08 01:08:32,3.0,649.83984375,44.2578125,55.828125,538.9453125,1.44140625,597.71875
2025-05-04 09:00:00,2025-05-08 01:08:32,3.0,613.419921875,31.62890625,55.9140625,538.97265625,0.720703125,544.359375
2025-05-04 10:00:00,2025-05-08 01:08:32,3.0,581.7099609375,25.314453125,55.45703125,538.486328125,0.3603515625,484.1796875
2025-05-04 11:00:00,2025-05-08 01:08:32,3.0,567.35498046875,31.6572265625,55.228515625,539.2431640625,0.18017578125,426.08984375
2025-05-04 12:00:00,2025-05-08 01:08:32,3.0,560.177490234375,35.82861328125,55.1142578125,540.12158203125,0.590087890625,412.044921875
2025-05-04 13:00:00,2025-05-08 01:08:32,3.0,555.5887451171875,38.414306640625,55.05712890625,539.560791015625,5.7950439453125,387.0224609375
2025-05-04 14:00:00,2025-05-08 01:08:32,3.0,551.7943725585938,29.2071533203125,55.028564453125,539.7803955078125,47.39752197265625,339.51123046875
2025-05-04 15:00:00,2025-05-08 01:08:32,3.0,546.3971862792969,24.10357666015625,54.5142822265625,540.8901977539062,103.19876098632812,275.755615234375
2025-05-04 16:00:00,2025-05-08 01:08:32,3.0,508.6985931396485,27.551788330078125,53.75714111328125,539.4450988769531,135.59938049316406,204.8778076171875
2025-05-04 17:00:00,2025-05-08 01:08:32,3.0,528.3492965698242,28.275894165039062,53.87857055664063,540.7225494384766,152.79969024658203,167.43890380859375
2025-05-04 18:00:00,2025-05-08 01:08:32,3.0,538.6746482849121,24.13794708251953,53.43928527832031,540.3612747192383,162.39984512329102,195.21945190429688
2025-05-04 19:00:00,2025-05-08 01:08:32,3.0,542.837324142456,21.56897354125977,52.21964263916016,539.1806373596191,167.6999225616455,239.10972595214844
2025-05-04 20:00:00,2025-05-08 01:08:32,3.0,545.918662071228,19.284486770629883,51.60982131958008,541.5903186798096,169.34996128082275,280.0548629760742
2025-05-04 21:00:00,2025-05-08 01:08:32,3.0,546.959331035614,19.14224338531494,51.30491065979004,540.2951593399048,163.17498064041138,255.5274314880371
2025-05-04 22:00:00,2025-05-08 01:08:32,3.0,546.479665517807,18.07112169265747,51.65245532989502,540.1475796699524,163.5874903202057,205.26371574401853
2025-05-04 23:00:00,2025-05-08 01:08:32,3.0,549.2398327589035,18.035560846328732,52.32622766494751,540.5737898349762,145.29374516010284,163.13185787200928
