UTC time,hydro
2025-04-19 00:00:00,509.0
2025-04-19 01:00:00,430.0
2025-04-19 02:00:00,503.0
2025-04-19 03:00:00,65.0
2025-04-19 04:00:00,35.0
2025-04-19 05:00:00,0.0
2025-04-19 06:00:00,0.0
2025-04-19 07:00:00,0.0
2025-04-19 08:00:00,0.0
2025-04-19 09:00:00,0.0
2025-04-19 10:00:00,0.0
2025-04-19 11:00:00,0.0
2025-04-19 12:00:00,0.0
2025-04-19 13:00:00,0.0
2025-04-19 14:00:00,0.0
2025-04-19 15:00:00,0.0
2025-04-19 16:00:00,0.0
2025-04-19 17:00:00,0.0
2025-04-19 18:00:00,70.0
2025-04-19 19:00:00,97.0
2025-04-19 20:00:00,121.0
2025-04-19 21:00:00,187.0
2025-04-19 22:00:00,296.0
2025-04-19 23:00:00,456.0
2025-04-20 00:00:00,447.0
2025-04-20 01:00:00,438.5
2025-04-20 02:00:00,470.75
2025-04-20 03:00:00,267.875
2025-04-20 04:00:00,151.4375
2025-04-20 05:00:00,75.71875
2025-04-20 06:00:00,37.859375
2025-04-20 07:00:00,18.9296875
2025-04-20 08:00:00,9.46484375
2025-04-20 09:00:00,4.732421875
2025-04-20 10:00:00,2.3662109375
2025-04-20 11:00:00,1.18310546875
2025-04-20 12:00:00,0.591552734375
2025-04-20 13:00:00,0.2957763671875
2025-04-20 14:00:00,0.14788818359375
2025-04-20 15:00:00,0.073944091796875
2025-04-20 16:00:00,0.0369720458984375
2025-04-20 17:00:00,0.01848602294921875
2025-04-20 18:00:00,35.00924301147461
2025-04-20 19:00:00,66.0046215057373
2025-04-20 20:00:00,93.50231075286865
2025-04-20 21:00:00,140.25115537643433
2025-04-20 22:00:00,218.12557768821716
2025-04-20 23:00:00,337.0627888441086
