datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_hydro_production_forecast
2025-05-04 00:00:00,2025-05-08 01:08:32,3.0,3.9546250713105855,284.9308168278688,279.0726642320794,196.5309656059565,0.1937530563957326,,
2025-05-04 01:00:00,2025-05-08 01:08:32,3.0,3.9546250713105855,284.9308168278688,279.0726642320794,196.5309656059565,0.1937530563957326,,
2025-05-04 02:00:00,2025-05-08 01:08:32,3.0,3.9546250713105855,284.9308168278688,279.0726642320794,196.5309656059565,0.1937530563957326,,
2025-05-04 03:00:00,2025-05-08 01:08:32,3.0,3.9546250713105855,284.9308168278688,279.0726642320794,196.5309656059565,0.1937530563957326,,
2025-05-04 04:00:00,2025-05-08 01:08:32,3.0,3.0326646369607984,281.9553118766341,278.721135401184,196.5309656059565,0.1937530563957326,,
2025-05-04 05:00:00,2025-05-08 01:08:32,3.0,3.0326646369607984,281.9553118766341,278.721135401184,196.5309656059565,0.1937530563957326,,
2025-05-04 06:00:00,2025-05-08 01:08:32,3.0,3.0326646369607984,281.9553118766341,278.721135401184,196.5309656059565,0.1937530563957326,,
2025-05-04 07:00:00,2025-05-08 01:08:32,3.0,2.5236271012270004,281.1411001607869,278.4640451058245,98.26453156592684,0.2055802622152665,,
2025-05-04 08:00:00,2025-05-08 01:08:32,3.0,2.5236271012270004,281.1411001607869,278.4640451058245,98.26453156592684,0.2055802622152665,,
2025-05-04 09:00:00,2025-05-08 01:08:32,3.0,2.5236271012270004,281.1411001607869,278.4640451058245,98.26453156592684,0.2055802622152665,,
2025-05-04 10:00:00,2025-05-08 01:08:32,3.0,2.396598068343168,280.45689296831307,278.3859298678936,0.0,0.2114921669424607,,
2025-05-04 11:00:00,2025-05-08 01:08:32,3.0,2.396598068343168,280.45689296831307,278.3859298678936,0.0,0.2114921669424607,,
2025-05-04 12:00:00,2025-05-08 01:08:32,3.0,2.396598068343168,280.45689296831307,278.3859298678936,0.0,0.2114921669424607,,
2025-05-04 13:00:00,2025-05-08 01:08:32,3.0,2.7701138954378,284.23787109437285,278.9308639675908,0.0,0.2134561027325381,,
2025-05-04 14:00:00,2025-05-08 01:08:32,3.0,2.7701138954378,284.23787109437285,278.9308639675908,0.0,0.2134561027325381,,
2025-05-04 15:00:00,2025-05-08 01:08:32,3.0,2.7701138954378,284.23787109437285,278.9308639675908,0.0,0.2134561027325381,,
2025-05-04 16:00:00,2025-05-08 01:08:32,3.0,4.164350546745308,290.3663816121837,279.106386764581,82.90703461599867,0.2134561027325381,,
2025-05-04 17:00:00,2025-05-08 01:08:32,3.0,4.164350546745308,290.3663816121837,279.106386764581,82.90703461599867,0.2134561027325381,,
2025-05-04 18:00:00,2025-05-08 01:08:32,3.0,4.164350546745308,290.3663816121837,279.106386764581,82.90703461599867,0.2134561027325381,,
2025-05-04 19:00:00,2025-05-08 01:08:32,3.0,4.575172622519788,293.57640937241774,278.34568931579906,342.13188309824795,0.2420110830015325,,
