UTC time,hydro,nat_gas
2025-04-19 00:00:00,52.0,36.0
2025-04-19 01:00:00,57.0,38.0
2025-04-19 02:00:00,61.0,48.0
2025-04-19 03:00:00,62.0,58.0
2025-04-19 04:00:00,62.0,76.0
2025-04-19 05:00:00,57.0,87.0
2025-04-19 06:00:00,57.0,87.0
2025-04-19 07:00:00,52.0,87.0
2025-04-19 08:00:00,45.0,87.0
2025-04-19 09:00:00,45.0,83.0
2025-04-19 10:00:00,45.0,72.0
2025-04-19 11:00:00,45.0,64.0
2025-04-19 12:00:00,45.0,64.0
2025-04-19 13:00:00,45.0,38.0
2025-04-19 14:00:00,45.0,32.0
2025-04-19 15:00:00,50.0,32.0
2025-04-19 16:00:00,50.0,33.0
2025-04-19 17:00:00,52.0,34.0
2025-04-19 18:00:00,50.0,34.0
2025-04-19 19:00:00,50.0,34.0
2025-04-19 20:00:00,51.0,34.0
2025-04-19 21:00:00,50.0,35.0
2025-04-19 22:00:00,50.0,35.0
2025-04-19 23:00:00,50.0,36.0
2025-04-20 00:00:00,50.0,36.0
2025-04-20 01:00:00,53.5,37.0
2025-04-20 02:00:00,57.25,42.5
2025-04-20 03:00:00,59.625,50.25
2025-04-20 04:00:00,60.8125,63.125
2025-04-20 05:00:00,58.90625,75.0625
2025-04-20 06:00:00,57.953125,81.03125
2025-04-20 07:00:00,54.9765625,84.015625
2025-04-20 08:00:00,49.98828125,85.5078125
2025-04-20 09:00:00,47.494140625,84.25390625
2025-04-20 10:00:00,46.2470703125,78.126953125
2025-04-20 11:00:00,45.62353515625,71.0634765625
2025-04-20 12:00:00,45.311767578125,67.53173828125
2025-04-20 13:00:00,45.1558837890625,52.765869140625
2025-04-20 14:00:00,45.07794189453125,42.3829345703125
2025-04-20 15:00:00,47.538970947265625,37.19146728515625
2025-04-20 16:00:00,48.76948547363281,35.095733642578125
2025-04-20 17:00:00,50.384742736816406,34.54786682128906
2025-04-20 18:00:00,50.1923713684082,34.27393341064453
2025-04-20 19:00:00,50.0961856842041,34.136966705322266
2025-04-20 20:00:00,50.54809284210205,34.06848335266113
2025-04-20 21:00:00,50.274046421051025,34.534241676330566
2025-04-20 22:00:00,50.13702321052551,34.76712083816528
2025-04-20 23:00:00,50.068511605262756,35.38356041908264
