,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro
0,2025-04-25 00:00:00,2025-05-01 04:36:13,3.0,205.96,41.0,64.0
1,2025-04-25 01:00:00,2025-05-01 04:36:13,3.0,251.41,61.0,64.0
2,2025-04-25 02:00:00,2025-05-01 04:36:13,3.0,253.3,62.0,64.0
3,2025-04-25 03:00:00,2025-05-01 04:36:13,3.0,249.48,60.0,64.0
4,2025-04-25 04:00:00,2025-05-01 04:36:13,3.0,249.48,60.0,64.0
5,2025-04-25 05:00:00,2025-05-01 04:36:13,3.0,255.14,62.0,63.0
6,2025-04-25 06:00:00,2025-05-01 04:36:13,3.0,258.83,64.0,63.0
7,2025-04-25 07:00:00,2025-05-01 04:36:13,3.0,272.28,65.0,57.0
8,2025-04-25 08:00:00,2025-05-01 04:36:13,3.0,274.33,65.0,56.0
9,2025-04-25 09:00:00,2025-05-01 04:36:13,3.0,276.1,66.0,56.0
10,2025-04-25 10:00:00,2025-05-01 04:36:13,3.0,261.09,58.0,56.0
11,2025-04-25 11:00:00,2025-05-01 04:36:13,3.0,248.37,52.0,56.0
12,2025-04-25 12:00:00,2025-05-01 04:36:13,3.0,266.96,61.0,56.0
13,2025-04-25 13:00:00,2025-05-01 04:36:13,3.0,259.06,57.0,56.0
14,2025-04-25 14:00:00,2025-05-01 04:36:13,3.0,277.84,67.0,56.0
15,2025-04-25 15:00:00,2025-05-01 04:36:13,3.0,307.51,87.0,56.0
16,2025-04-25 16:00:00,2025-05-01 04:36:13,3.0,308.78,88.0,56.0
17,2025-04-25 17:00:00,2025-05-01 04:36:13,3.0,308.78,88.0,56.0
18,2025-04-25 18:00:00,2025-05-01 04:36:13,3.0,308.78,88.0,56.0
19,2025-04-25 19:00:00,2025-05-01 04:36:13,3.0,306.23,86.0,56.0
20,2025-04-25 20:00:00,2025-05-01 04:36:13,3.0,254.9,55.0,56.0
21,2025-04-25 21:00:00,2025-05-01 04:36:13,3.0,220.97,41.0,56.0
22,2025-04-25 22:00:00,2025-05-01 04:36:13,3.0,212.38,38.0,56.0
23,2025-04-25 23:00:00,2025-05-01 04:36:13,3.0,254.9,55.0,56.0
24,2025-04-26 00:00:00,2025-05-01 04:36:13,3.0,289.26,74.0,56.0
25,2025-04-26 01:00:00,2025-05-01 04:36:13,3.0,270.71,67.5,60.0
26,2025-04-26 02:00:00,2025-05-01 04:36:13,3.0,262.06,64.75,62.0
27,2025-04-26 03:00:00,2025-05-01 04:36:13,3.0,255.84,62.375,63.0
28,2025-04-26 04:00:00,2025-05-01 04:36:13,3.0,252.68,61.1875,63.5
29,2025-04-26 05:00:00,2025-05-01 04:36:13,3.0,253.91,61.59375,63.25
30,2025-04-26 06:00:00,2025-05-01 04:36:13,3.0,256.39,62.796875,63.125
31,2025-04-26 07:00:00,2025-05-01 04:36:13,3.0,264.21,63.8984375,60.0625
32,2025-04-26 08:00:00,2025-05-01 04:36:13,3.0,269.21,64.44921875,58.03125
33,2025-04-26 09:00:00,2025-05-01 04:36:13,3.0,272.65,65.224609375,57.015625
34,2025-04-26 10:00:00,2025-05-01 04:36:13,3.0,267.07,61.6123046875,56.5078125
35,2025-04-26 11:00:00,2025-05-01 04:36:13,3.0,258.14,56.80615234375,56.25390625
36,2025-04-26 12:00:00,2025-05-01 04:36:13,3.0,262.62,58.903076171875,56.126953125
37,2025-04-26 13:00:00,2025-05-01 04:36:13,3.0,260.86,57.9515380859375,56.0634765625
38,2025-04-26 14:00:00,2025-05-01 04:36:13,3.0,269.67,62.47576904296875,56.03173828125
39,2025-04-26 15:00:00,2025-05-01 04:36:13,3.0,290.36,74.73788452148438,56.015869140625
40,2025-04-26 16:00:00,2025-05-01 04:36:13,3.0,300.01,81.36894226074219,56.0079345703125
41,2025-04-26 17:00:00,2025-05-01 04:36:13,3.0,304.5,84.6844711303711,56.00396728515625
42,2025-04-26 18:00:00,2025-05-01 04:36:13,3.0,306.66,86.34223556518555,56.001983642578125
43,2025-04-26 19:00:00,2025-05-01 04:36:13,3.0,306.44,86.17111778259277,56.00099182128906
44,2025-04-26 20:00:00,2025-05-01 04:36:13,3.0,283.85,70.58555889129639,56.00049591064453
45,2025-04-26 21:00:00,2025-05-01 04:36:13,3.0,256.57,55.79277944564819,56.000247955322266
46,2025-04-26 22:00:00,2025-05-01 04:36:13,3.0,236.39,46.8963897228241,56.00012397766113
47,2025-04-26 23:00:00,2025-05-01 04:36:13,3.0,245.99,50.94819486141205,56.000061988830566
