UTC time,creation_time (UTC),version,avg_solar_production_forecast,avg_wind_production_forecast
2025-05-06T00:00:00-00:00,2025-05-08 22:24:46,3.0,9301.85,2891.62
2025-05-06T01:00:00-00:00,2025-05-08 22:24:46,3.0,4379.59,2958.66
2025-05-06T02:00:00-00:00,2025-05-08 22:24:46,3.0,672.71,2904.0
2025-05-06T03:00:00-00:00,2025-05-08 22:24:46,3.0,0.0,2989.73
2025-05-06T04:00:00-00:00,2025-05-08 22:24:46,3.0,0.0,3179.77
2025-05-06T05:00:00-00:00,2025-05-08 22:24:46,3.0,0.0,3302.2999999999997
2025-05-06T06:00:00-00:00,2025-05-08 22:24:46,3.0,0.0,3184.11
2025-05-06T07:00:00-00:00,2025-05-08 22:24:46,3.0,0.0,3390.8999999999996
2025-05-06T08:00:00-00:00,2025-05-08 22:24:46,3.0,0.0,2991.21
2025-05-06T09:00:00-00:00,2025-05-08 22:24:46,3.0,0.0,2648.92
2025-05-06T10:00:00-00:00,2025-05-08 22:24:46,3.0,0.0,2434.75
2025-05-06T11:00:00-00:00,2025-05-08 22:24:46,3.0,0.0,2242.69
2025-05-06T12:00:00-00:00,2025-05-08 22:24:46,3.0,4.26,1989.3700000000001
2025-05-06T13:00:00-00:00,2025-05-08 22:24:46,3.0,2293.13,1713.21
2025-05-06T14:00:00-00:00,2025-05-08 22:24:46,3.0,9009.97,1415.01
2025-05-06T15:00:00-00:00,2025-05-08 22:24:46,3.0,14642.759999999998,1181.96
2025-05-06T16:00:00-00:00,2025-05-08 22:24:46,3.0,16699.489999999998,1099.86
2025-05-06T17:00:00-00:00,2025-05-08 22:24:46,3.0,17483.98,1114.75
2025-05-06T18:00:00-00:00,2025-05-08 22:24:46,3.0,17870.46,1250.3700000000001
2025-05-06T19:00:00-00:00,2025-05-08 22:24:46,3.0,17915.06,1579.5300000000002
2025-05-06T20:00:00-00:00,2025-05-08 22:24:46,3.0,17776.010000000002,2039.7
2025-05-06T21:00:00-00:00,2025-05-08 22:24:46,3.0,17445.559999999998,2584.7
2025-05-06T22:00:00-00:00,2025-05-08 22:24:46,3.0,16652.61,3145.98
2025-05-06T23:00:00-00:00,2025-05-08 22:24:46,3.0,15257.400000000001,3490.3500000000004
