UTC time,creation_time (UTC),version,avg_solar_production_forecast,avg_wind_production_forecast
2025-04-29T00:00:00-00:00,2025-05-01 22:23:48,3.0,14064.47,2383.7
2025-04-29T01:00:00-00:00,2025-05-01 22:23:48,3.0,5396.76,2834.44
2025-04-29T02:00:00-00:00,2025-05-01 22:23:48,3.0,276.75,3115.29
2025-04-29T03:00:00-00:00,2025-05-01 22:23:48,3.0,0.0,3164.1899999999996
2025-04-29T04:00:00-00:00,2025-05-01 22:23:48,3.0,0.0,3021.08
2025-04-29T05:00:00-00:00,2025-05-01 22:23:48,3.0,0.0,2768.4100000000003
2025-04-29T06:00:00-00:00,2025-05-01 22:23:48,3.0,0.0,2434.93
2025-04-29T07:00:00-00:00,2025-05-01 22:23:48,3.0,0.0,2062.63
2025-04-29T08:00:00-00:00,2025-05-01 22:23:48,3.0,0.0,1823.46
2025-04-29T09:00:00-00:00,2025-05-01 22:23:48,3.0,0.0,1543.73
2025-04-29T10:00:00-00:00,2025-05-01 22:23:48,3.0,0.0,1236.25
2025-04-29T11:00:00-00:00,2025-05-01 22:23:48,3.0,0.0,942.45
2025-04-29T12:00:00-00:00,2025-05-01 22:23:48,3.0,2.49,697.88
2025-04-29T13:00:00-00:00,2025-05-01 22:23:48,3.0,1789.73,509.35
2025-04-29T14:00:00-00:00,2025-05-01 22:23:48,3.0,10565.72,352.16999999999996
2025-04-29T15:00:00-00:00,2025-05-01 22:23:48,3.0,16342.919999999998,222.98999999999998
2025-04-29T16:00:00-00:00,2025-05-01 22:23:48,3.0,17926.89,145.88
2025-04-29T17:00:00-00:00,2025-05-01 22:23:48,3.0,18715.760000000002,131.48000000000002
2025-04-29T18:00:00-00:00,2025-05-01 22:23:48,3.0,18964.86,150.53
2025-04-29T19:00:00-00:00,2025-05-01 22:23:48,3.0,18988.63,224.99
2025-04-29T20:00:00-00:00,2025-05-01 22:23:48,3.0,18916.66,435.48
2025-04-29T21:00:00-00:00,2025-05-01 22:23:48,3.0,18703.079999999998,890.15
2025-04-29T22:00:00-00:00,2025-05-01 22:23:48,3.0,18163.35,1534.76
2025-04-29T23:00:00-00:00,2025-05-01 22:23:48,3.0,16966.899999999998,2179.21
