UTC time,solar,nat_gas,wind,hydro,coal,other,oil,nuclear
2025-04-19 00:00:00,13381.0,5769.0,4783.0,1479.0,0.0,0.0,46.0,1134.0
2025-04-19 01:00:00,11555.0,5314.0,5387.0,1838.0,0.0,0.0,46.0,1135.0
2025-04-19 02:00:00,10463.0,6135.0,5510.0,2167.0,0.0,0.0,46.0,1135.0
2025-04-19 03:00:00,4241.0,4256.0,5524.0,3561.0,0.0,1765.0,46.0,1135.0
2025-04-19 04:00:00,211.0,4082.0,5534.0,4470.0,0.0,4846.0,46.0,1135.0
2025-04-19 05:00:00,6.0,4582.0,4995.0,5028.0,0.0,4827.0,46.0,1135.0
2025-04-19 06:00:00,12.0,4750.0,3877.0,5365.0,0.0,4360.0,46.0,1133.0
2025-04-19 07:00:00,13.0,4808.0,3176.0,5385.0,0.0,2124.0,46.0,1133.0
2025-04-19 08:00:00,13.0,4835.0,2855.0,5253.0,0.0,917.0,46.0,1134.0
2025-04-19 09:00:00,13.0,5207.0,2235.0,4857.0,0.0,595.0,46.0,1134.0
2025-04-19 10:00:00,13.0,5121.0,2068.0,4575.0,0.0,565.0,46.0,1134.0
2025-04-19 11:00:00,14.0,5550.0,1981.0,4407.0,0.0,0.0,46.0,1135.0
2025-04-19 12:00:00,13.0,5613.0,1823.0,4403.0,0.0,0.0,46.0,1135.0
2025-04-19 13:00:00,13.0,5457.0,1335.0,4525.0,0.0,0.0,46.0,1135.0
2025-04-19 14:00:00,11.0,5373.0,1219.0,4623.0,0.0,874.0,46.0,1135.0
2025-04-19 15:00:00,1174.0,4539.0,1153.0,4245.0,0.0,1959.0,46.0,1135.0
2025-04-19 16:00:00,8453.0,4649.0,1137.0,3316.0,0.0,0.0,46.0,1135.0
2025-04-19 17:00:00,13354.0,7078.0,1154.0,1930.0,0.0,0.0,46.0,1134.0
2025-04-19 18:00:00,14325.0,8139.0,1204.0,1374.0,0.0,0.0,46.0,1134.0
2025-04-19 19:00:00,13630.0,8505.0,1137.0,1100.0,0.0,0.0,46.0,1134.0
2025-04-19 20:00:00,12909.0,9146.0,890.0,876.0,0.0,0.0,46.0,1134.0
2025-04-19 21:00:00,12475.0,9335.0,850.0,845.0,0.0,0.0,46.0,1134.0
2025-04-19 22:00:00,12052.0,9242.0,875.0,835.0,0.0,0.0,46.0,1135.0
2025-04-19 23:00:00,11170.0,8155.0,928.0,849.0,0.0,0.0,47.0,1135.0
2025-04-20 00:00:00,11626.0,7269.0,1072.0,875.0,0.0,0.0,46.0,1135.0
2025-04-20 01:00:00,11590.5,6291.5,3229.5,1356.5,0.0,0.0,46.0,1135.0
2025-04-20 02:00:00,11026.75,6213.25,4369.75,1761.75,0.0,0.0,46.0,1135.0
2025-04-20 03:00:00,7633.875,5234.625,4946.875,2661.375,0.0,882.5,46.0,1135.0
2025-04-20 04:00:00,3922.4375,4658.3125,5240.4375,3565.6875,0.0,2864.25,46.0,1135.0
2025-04-20 05:00:00,1964.21875,4620.15625,5117.71875,4296.84375,0.0,3845.625,46.0,1135.0
2025-04-20 06:00:00,988.109375,4685.078125,4497.359375,4830.921875,0.0,4102.8125,46.0,1134.0
2025-04-20 07:00:00,500.5546875,4746.5390625,3836.6796875,5107.9609375,0.0,3113.40625,46.0,1133.5
2025-04-20 08:00:00,256.77734375,4790.76953125,3345.83984375,5180.48046875,0.0,2015.203125,46.0,1133.75
2025-04-20 09:00:00,134.888671875,4998.884765625,2790.419921875,5018.740234375,0.0,1305.1015625,46.0,1133.875
2025-04-20 10:00:00,73.9443359375,5059.9423828125,2429.2099609375,4796.8701171875,0.0,935.05078125,46.0,1133.9375
2025-04-20 11:00:00,43.97216796875,5304.97119140625,2205.10498046875,4601.93505859375,0.0,467.525390625,46.0,1134.46875
2025-04-20 12:00:00,28.486083984375,5458.985595703125,2014.052490234375,4502.467529296875,0.0,233.7626953125,46.0,1134.734375
2025-04-20 13:00:00,20.7430419921875,5457.9927978515625,1674.5262451171875,4513.7337646484375,0.0,116.88134765625,46.0,1134.8671875
2025-04-20 14:00:00,15.87152099609375,5415.496398925781,1446.7631225585938,4568.366882324219,0.0,495.440673828125,46.0,1134.93359375
2025-04-20 15:00:00,594.9357604980469,4977.248199462891,1299.8815612792969,4406.683441162109,0.0,1227.2203369140625,46.0,1134.966796875
2025-04-20 16:00:00,4523.967880249023,4813.124099731445,1218.4407806396484,3861.3417205810547,0.0,613.6101684570312,46.0,1134.9833984375
2025-04-20 17:00:00,8938.983940124512,5945.562049865723,1186.2203903198242,2895.6708602905273,0.0,306.8050842285156,46.0,1134.49169921875
2025-04-20 18:00:00,11631.991970062256,7042.281024932861,1195.110195159912,2134.8354301452637,0.0,153.4025421142578,46.0,1134.245849609375
2025-04-20 19:00:00,12630.995985031128,7773.640512466431,1166.055097579956,1617.4177150726318,0.0,76.7012710571289,46.0,1134.1229248046875
2025-04-20 20:00:00,12769.997992515564,8459.820256233215,1028.027548789978,1246.708857536316,0.0,38.35063552856445,46.0,1134.0614624023438
2025-04-20 21:00:00,12622.498996257782,8897.410128116608,939.013774394989,1045.854428768158,0.0,19.175317764282227,46.0,1134.0307312011719
2025-04-20 22:00:00,12337.249498128891,9069.705064058304,907.0068871974945,940.427214384079,0.0,9.587658882141113,46.0,1134.515365600586
2025-04-20 23:00:00,11753.624749064445,8612.352532029152,917.5034435987473,894.7136071920395,0.0,4.793829441070557,46.5,1134.757682800293
