datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2025-05-04 00:00:00,2025-05-08 01:08:32,3.0,7.030860144873929,286.27554989892127,278.18437222817136,149.88230449899302,0.4171864999993112,,,,,,9624.53028,3816.18997,
2025-05-04 01:00:00,2025-05-08 01:08:32,3.0,7.030860144873929,286.27554989892127,278.18437222817136,149.88230449899302,0.4171864999993112,,,,,,9561.51929,3796.54404,
2025-05-04 02:00:00,2025-05-08 01:08:32,3.0,7.030860144873929,286.27554989892127,278.18437222817136,149.88230449899302,0.4171864999993112,,,,,,8209.0766,3811.86778,
2025-05-04 03:00:00,2025-05-08 01:08:32,3.0,7.030860144873929,286.27554989892127,278.18437222817136,149.88230449899302,0.4171864999993112,,,,,,6431.77381,3742.02327,
2025-05-04 04:00:00,2025-05-08 01:08:32,3.0,6.6325795367956015,284.65219658825737,278.36157527160475,149.88230449899302,0.4171864999993112,,,,,,4422.54051,3715.38939,
2025-05-04 05:00:00,2025-05-08 01:08:32,3.0,6.6325795367956015,284.65219658825737,278.36157527160475,149.88230449899302,0.4171864999993112,,,,,,2621.14241,3691.15544,
2025-05-04 06:00:00,2025-05-08 01:08:32,3.0,6.6325795367956015,284.65219658825737,278.36157527160475,149.88230449899302,0.4171864999993112,,,,,,1481.15447,3526.04182,
2025-05-04 07:00:00,2025-05-08 01:08:32,3.0,6.469582222377468,283.6532470044846,278.269293100652,74.9488079203338,0.7505764766365088,,,,,,238.2428,3434.58798,
2025-05-04 08:00:00,2025-05-08 01:08:32,3.0,6.469582222377468,283.6532470044846,278.269293100652,74.9488079203338,0.7505764766365088,,,,,,0.0,3238.3386,
2025-05-04 09:00:00,2025-05-08 01:08:32,3.0,6.469582222377468,283.6532470044846,278.269293100652,74.9488079203338,0.7505764766365088,,,,,,0.0,3074.62618,
2025-05-04 10:00:00,2025-05-08 01:08:32,3.0,6.467920596758782,282.846958119128,278.2867008468239,0.0,0.942122724840736,,,,,,443.32425,2895.11363,
2025-05-04 11:00:00,2025-05-08 01:08:32,3.0,6.467920596758782,282.846958119128,278.2867008468239,0.0,0.942122724840736,,,,,,141.14461,2791.98737,
2025-05-04 12:00:00,2025-05-08 01:08:32,3.0,6.467920596758782,282.846958119128,278.2867008468239,0.0,0.942122724840736,,,,,,0.0,2636.67663,
2025-05-04 13:00:00,2025-05-08 01:08:32,3.0,6.565313775290743,283.751496286819,278.19778651026616,0.0,1.147881143567448,,,,,,0.0,2541.70807,
2025-05-04 14:00:00,2025-05-08 01:08:32,3.0,6.565313775290743,283.751496286819,278.19778651026616,0.0,1.147881143567448,,,,,,548.55461,2435.50347,
2025-05-04 15:00:00,2025-05-08 01:08:32,3.0,6.565313775290743,283.751496286819,278.19778651026616,0.0,1.147881143567448,,,,,,1587.73456,2460.16367,
2025-05-04 16:00:00,2025-05-08 01:08:32,3.0,6.852209914387204,286.1306108772808,277.7113802913358,65.76697189993195,1.392764271392864,,,,,,3208.2123,2565.83161,
2025-05-04 17:00:00,2025-05-08 01:08:32,3.0,6.852209914387204,286.1306108772808,277.7113802913358,65.76697189993195,1.392764271392864,,,,,,5717.38328,2545.88641,
2025-05-04 18:00:00,2025-05-08 01:08:32,3.0,6.852209914387204,286.1306108772808,277.7113802913358,65.76697189993195,1.392764271392864,,,,,,7297.83201,2584.44183,
2025-05-04 19:00:00,2025-05-08 01:08:32,3.0,7.249612391209393,287.3412675293825,277.5330926037986,267.5427173007153,1.709913741208955,,,,,,8608.69594,2671.72843,
2025-05-04 20:00:00,2025-05-08 01:08:32,3.0,7.249612391209393,287.3412675293825,277.5330926037986,267.5427173007153,1.709913741208955,,,,,,10159.3334,2751.64984,
2025-05-04 21:00:00,2025-05-08 01:08:32,3.0,7.249612391209393,287.3412675293825,277.5330926037986,267.5427173007153,1.709913741208955,,,,,,10541.60242,2891.32376,
2025-05-04 22:00:00,2025-05-08 01:08:32,3.0,7.711816450768394,287.0480428358168,277.63078207051467,713.3692575826158,2.113961349196672,,,,,,10892.80235,3082.1712,
2025-05-04 23:00:00,2025-05-08 01:08:32,3.0,7.711816450768394,287.0480428358168,277.63078207051467,713.3692575826158,2.113961349196672,,,,,,11272.77655,3153.16874,
2025-05-05 00:00:00,2025-05-08 01:08:32,3.0,7.711816450768394,287.0480428358168,277.63078207051467,713.3692575826158,2.113961349196672,,,,,,9624.53028,3816.18997,
2025-05-05 01:00:00,2025-05-08 01:08:32,3.0,7.113957282964762,284.9398549810052,278.04919771234245,643.2288225865423,2.620634828990797,,,,,,4156.49999,3868.60011,
2025-05-05 02:00:00,2025-05-08 01:08:32,3.0,7.113957282964762,284.9398549810052,278.04919771234245,643.2288225865423,2.620634828990797,,,,,,8209.0766,3811.86778,
2025-05-05 03:00:00,2025-05-08 01:08:32,3.0,7.113957282964762,284.9398549810052,278.04919771234245,643.2288225865423,2.620634828990797,,,,,,6431.77381,3742.02327,
2025-05-05 04:00:00,2025-05-08 01:08:32,3.0,6.485113095414949,283.7295689303723,278.0273666984346,160.7637010438873,2.959036560442704,,,,,,4422.54051,3715.38939,
2025-05-05 05:00:00,2025-05-08 01:08:32,3.0,6.485113095414949,283.7295689303723,278.0273666984346,160.7637010438873,2.959036560442704,,,,,,2621.14241,3691.15544,
2025-05-05 06:00:00,2025-05-08 01:08:32,3.0,6.485113095414949,283.7295689303723,278.0273666984346,160.7637010438873,2.959036560442704,,,,,,1481.15447,3526.04182,
2025-05-05 07:00:00,2025-05-08 01:08:32,3.0,5.81448639020832,283.14658691331846,277.9099757779637,80.39372460666125,3.191313838512362,,,,,,238.2428,3434.58798,
2025-05-05 08:00:00,2025-05-08 01:08:32,3.0,5.81448639020832,283.14658691331846,277.9099757779637,80.39372460666125,3.191313838512362,,,,,,0.0,3238.3386,
2025-05-05 09:00:00,2025-05-08 01:08:32,3.0,5.81448639020832,283.14658691331846,277.9099757779637,80.39372460666125,3.191313838512362,,,,,,0.0,3074.62618,
2025-05-05 10:00:00,2025-05-08 01:08:32,3.0,5.340282383105141,282.5765482770684,277.6811434144024,0.0,3.390720000563528,,,,,,443.32425,2895.11363,
2025-05-05 11:00:00,2025-05-08 01:08:32,3.0,5.340282383105141,282.5765482770684,277.6811434144024,0.0,3.390720000563528,,,,,,141.14461,2791.98737,
2025-05-05 12:00:00,2025-05-08 01:08:32,3.0,5.340282383105141,282.5765482770684,277.6811434144024,0.0,3.390720000563528,,,,,,0.0,2636.67663,
2025-05-05 13:00:00,2025-05-08 01:08:32,3.0,5.2593447285089,284.0974974355871,277.4926310529665,0.0,3.509346926913282,,,,,,0.0,2541.70807,
2025-05-05 14:00:00,2025-05-08 01:08:32,3.0,5.2593447285089,284.0974974355871,277.4926310529665,0.0,3.509346926913282,,,,,,548.55461,2435.50347,
2025-05-05 15:00:00,2025-05-08 01:08:32,3.0,5.2593447285089,284.0974974355871,277.4926310529665,0.0,3.509346926913282,,,,,,1587.73456,2460.16367,
2025-05-05 16:00:00,2025-05-08 01:08:32,3.0,5.594128490292403,287.26145036444416,277.35529697014624,80.28480137317399,3.570674278688807,,,,,,3208.2123,2565.83161,
2025-05-05 17:00:00,2025-05-08 01:08:32,3.0,5.594128490292403,287.26145036444416,277.35529697014624,80.28480137317399,3.570674278688807,,,,,,5717.38328,2545.88641,
2025-05-05 18:00:00,2025-05-08 01:08:32,3.0,5.594128490292403,287.26145036444416,277.35529697014624,80.28480137317399,3.570674278688807,,,,,,7297.83201,2584.44183,
2025-05-05 19:00:00,2025-05-08 01:08:32,3.0,6.02529205583947,289.3666062420379,277.3996229405653,320.3753443912181,3.7118634549555902,,,,,,8608.69594,2671.72843,
2025-05-05 20:00:00,2025-05-08 01:08:32,3.0,6.02529205583947,289.3666062420379,277.3996229405653,320.3753443912181,3.7118634549555902,,,,,,10159.3334,2751.64984,
2025-05-05 21:00:00,2025-05-08 01:08:32,3.0,6.02529205583947,289.3666062420379,277.3996229405653,320.3753443912181,3.7118634549555902,,,,,,10541.60242,2891.32376,
2025-05-05 22:00:00,2025-05-08 01:08:32,3.0,6.150265906368343,289.55847221565386,277.4262455879808,853.7247923244462,4.002396727980577,,,,,,10892.80235,3082.1712,
2025-05-05 23:00:00,2025-05-08 01:08:32,3.0,6.150265906368343,289.55847221565386,277.4262455879808,853.7247923244462,4.002396727980577,,,,,,11272.77655,3153.16874,
2025-05-06 00:00:00,2025-05-08 01:08:32,3.0,6.150265906368343,289.55847221565386,277.4262455879808,853.7247923244462,4.002396727980577,,,,,,9624.53028,3816.18997,
2025-05-06 01:00:00,2025-05-08 01:08:32,3.0,5.081867484367173,286.7759241999449,277.87900106857114,759.7818199981451,4.259823785336852,,,,,,4156.49999,3868.60011,
2025-05-06 02:00:00,2025-05-08 01:08:32,3.0,5.081867484367173,286.7759241999449,277.87900106857114,759.7818199981451,4.259823785336852,,,,,,485.57002,3819.53014,
2025-05-06 03:00:00,2025-05-08 01:08:32,3.0,5.081867484367173,286.7759241999449,277.87900106857114,759.7818199981451,4.259823785336852,,,,,,6431.77381,3742.02327,
2025-05-06 04:00:00,2025-05-08 01:08:32,3.0,4.140266319676257,285.1053127487011,277.67986154802685,191.63947496941017,4.426078249522192,,,,,,4422.54051,3715.38939,
2025-05-06 05:00:00,2025-05-08 01:08:32,3.0,4.140266319676257,285.1053127487011,277.67986154802685,191.63947496941017,4.426078249522192,,,,,,2621.14241,3691.15544,
2025-05-06 06:00:00,2025-05-08 01:08:32,3.0,4.140266319676257,285.1053127487011,277.67986154802685,191.63947496941017,4.426078249522192,,,,,,1481.15447,3526.04182,
2025-05-06 07:00:00,2025-05-08 01:08:32,3.0,3.5739803797219336,284.115193588978,277.4585718460612,95.83448106309255,4.526112062435896,,,,,,238.2428,3434.58798,
2025-05-06 08:00:00,2025-05-08 01:08:32,3.0,3.5739803797219336,284.115193588978,277.4585718460612,95.83448106309255,4.526112062435896,,,,,,0.0,3238.3386,
2025-05-06 09:00:00,2025-05-08 01:08:32,3.0,3.5739803797219336,284.115193588978,277.4585718460612,95.83448106309255,4.526112062435896,,,,,,0.0,3074.62618,
2025-05-06 10:00:00,2025-05-08 01:08:32,3.0,3.245288989467764,283.3361619239843,277.2703370533362,0.0,4.599217682112615,,,,,,443.32425,2895.11363,
2025-05-06 11:00:00,2025-05-08 01:08:32,3.0,3.245288989467764,283.3361619239843,277.2703370533362,0.0,4.599217682112615,,,,,,141.14461,2791.98737,
2025-05-06 12:00:00,2025-05-08 01:08:32,3.0,3.245288989467764,283.3361619239843,277.2703370533362,0.0,4.599217682112615,,,,,,0.0,2636.67663,
2025-05-06 13:00:00,2025-05-08 01:08:32,3.0,3.158303396031839,285.25623495413856,277.6517162460877,0.0,4.629567898745913,,,,,,0.0,2541.70807,
2025-05-06 14:00:00,2025-05-08 01:08:32,3.0,3.158303396031839,285.25623495413856,277.6517162460877,0.0,4.629567898745913,,,,,,548.55461,2435.50347,
2025-05-06 15:00:00,2025-05-08 01:08:32,3.0,3.158303396031839,285.25623495413856,277.6517162460877,0.0,4.629567898745913,,,,,,1587.73456,2460.16367,
2025-05-06 16:00:00,2025-05-08 01:08:32,3.0,3.5748427230099216,288.4543042850037,277.6954412511696,92.27095628570328,4.649896013740998,,,,,,3208.2123,2565.83161,
2025-05-06 17:00:00,2025-05-08 01:08:32,3.0,3.5748427230099216,288.4543042850037,277.6954412511696,92.27095628570328,4.649896013740998,,,,,,5717.38328,2545.88641,
2025-05-06 18:00:00,2025-05-08 01:08:32,3.0,3.5748427230099216,288.4543042850037,277.6954412511696,92.27095628570328,4.649896013740998,,,,,,7297.83201,2584.44183,
2025-05-06 19:00:00,2025-05-08 01:08:32,3.0,3.9618623586241055,290.5489999463043,277.75312682987146,340.2888499048525,4.675188709622558,,,,,,8608.69594,2671.72843,
2025-05-06 20:00:00,2025-05-08 01:08:32,3.0,3.9618623586241055,290.5489999463043,277.75312682987146,340.2888499048525,4.675188709622558,,,,,,10159.3334,2751.64984,
2025-05-06 21:00:00,2025-05-08 01:08:32,3.0,3.9618623586241055,290.5489999463043,277.75312682987146,340.2888499048525,4.675188709622558,,,,,,10541.60242,2891.32376,
2025-05-06 22:00:00,2025-05-08 01:08:32,3.0,4.2155202641651925,290.73082541334026,278.03554948894055,890.9600246684374,4.714570758922289,,,,,,10892.80235,3082.1712,
2025-05-06 23:00:00,2025-05-08 01:08:32,3.0,4.2155202641651925,290.73082541334026,278.03554948894055,890.9600246684374,4.714570758922289,,,,,,11272.77655,3153.16874,
2025-05-07 00:00:00,2025-05-08 01:08:32,3.0,4.2155202641651925,290.73082541334026,278.03554948894055,890.9600246684374,4.714570758922289,,,,,,9624.53028,3816.18997,
2025-05-07 01:00:00,2025-05-08 01:08:32,3.0,3.4859797947045434,287.86419286408534,279.11327227132074,801.198606179812,4.757073004502412,,,,,,4156.49999,3868.60011,
2025-05-07 02:00:00,2025-05-08 01:08:32,3.0,3.4859797947045434,287.86419286408534,279.11327227132074,801.198606179812,4.757073004502412,,,,,,485.57002,3819.53014,
2025-05-07 03:00:00,2025-05-08 01:08:32,3.0,3.4859797947045434,287.86419286408534,279.11327227132074,801.198606179812,4.757073004502412,,,,,,0.0,3838.15997,
2025-05-07 04:00:00,2025-05-08 01:08:32,3.0,2.693887179741693,286.1024483175619,279.269306538596,200.8981119481168,4.788802029719777,,,,,,4422.54051,3715.38939,
2025-05-07 05:00:00,2025-05-08 01:08:32,3.0,2.693887179741693,286.1024483175619,279.269306538596,200.8981119481168,4.788802029719777,,,,,,2621.14241,3691.15544,
2025-05-07 06:00:00,2025-05-08 01:08:32,3.0,2.693887179741693,286.1024483175619,279.269306538596,200.8981119481168,4.788802029719777,,,,,,1481.15447,3526.04182,
2025-05-07 07:00:00,2025-05-08 01:08:32,3.0,2.2446062225275605,285.0943120590844,279.0783685429785,100.46682562172256,4.850669512040788,,,,,,238.2428,3434.58798,
