datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast
2025-05-04 00:00:00,2025-05-07 19:59:01,3.0,3.8002159409067033,286.861146507138,273.96785681157525,90.58385248059568,0.0532387638193813,,,,9624.52999,3816.19007
2025-05-04 01:00:00,2025-05-07 19:59:01,3.0,3.8002159409067033,286.861146507138,273.96785681157525,90.58385248059568,0.0532387638193813,,,,295.07538,470.1576
2025-05-04 02:00:00,2025-05-07 19:59:01,3.0,3.8002159409067033,286.861146507138,273.96785681157525,90.58385248059568,0.0532387638193813,,,,253.87955,463.16201
2025-05-04 03:00:00,2025-05-07 19:59:01,3.0,3.8002159409067033,286.861146507138,273.96785681157525,90.58385248059568,0.0532387638193813,,,,198.46899,464.55138
2025-05-04 04:00:00,2025-05-07 19:59:01,3.0,3.742974896378109,284.6354829436519,274.2565642618413,90.58385248059568,0.0532387638193813,,,,149.99165,469.36262
2025-05-04 05:00:00,2025-05-07 19:59:01,3.0,3.742974896378109,284.6354829436519,274.2565642618413,90.58385248059568,0.0532387638193813,,,,106.22621,464.46187
2025-05-04 06:00:00,2025-05-07 19:59:01,3.0,3.742974896378109,284.6354829436519,274.2565642618413,90.58385248059568,0.0532387638193813,,,,43.81747,465.77203
2025-05-04 07:00:00,2025-05-07 19:59:01,3.0,3.316466748365904,283.00940251852813,274.37254068783704,45.29203902722325,0.08857092947277,,,,11.63708,459.58567
2025-05-04 08:00:00,2025-05-07 19:59:01,3.0,3.316466748365904,283.00940251852813,274.37254068783704,45.29203902722325,0.08857092947277,,,,0.0,446.21853
2025-05-04 09:00:00,2025-05-07 19:59:01,3.0,3.316466748365904,283.00940251852813,274.37254068783704,45.29203902722325,0.08857092947277,,,,0.0,415.18078
2025-05-04 10:00:00,2025-05-07 19:59:01,3.0,3.079959850568613,281.95251769014726,274.5080613102658,0.0,0.107293938448899,,,,0.0,433.02972
2025-05-04 11:00:00,2025-05-07 19:59:01,3.0,3.079959850568613,281.95251769014726,274.5080613102658,0.0,0.107293938448899,,,,0.0,422.68683
2025-05-04 12:00:00,2025-05-07 19:59:01,3.0,3.079959850568613,281.95251769014726,274.5080613102658,0.0,0.107293938448899,,,,0.69616,422.79276
2025-05-04 13:00:00,2025-05-07 19:59:01,3.0,4.255636146863141,287.655819144137,275.7465060061153,0.6439858981408314,0.1440882104869663,,,,11.05378,427.27098
2025-05-04 14:00:00,2025-05-07 19:59:01,3.0,4.255636146863141,287.655819144137,275.7465060061153,0.6439858981408314,0.1440882104869663,,,,0.0,451.26854
2025-05-04 15:00:00,2025-05-07 19:59:01,3.0,4.255636146863141,287.655819144137,275.7465060061153,0.6439858981408314,0.1440882104869663,,,,0.0,471.44055
2025-05-04 16:00:00,2025-05-07 19:59:01,3.0,5.5794580271546605,291.916135186421,275.5181758001892,244.1268431278162,0.1861991447976005,,,,0.0,473.44587
2025-05-04 17:00:00,2025-05-07 19:59:01,3.0,5.5794580271546605,291.916135186421,275.5181758001892,244.1268431278162,0.1861991447976005,,,,0.0,492.92632
2025-05-04 18:00:00,2025-05-07 19:59:01,3.0,5.5794580271546605,291.916135186421,275.5181758001892,244.1268431278162,0.1861991447976005,,,,40.39049,479.05058
2025-05-04 19:00:00,2025-05-07 19:59:01,3.0,6.278224575294683,292.8713410472386,275.58344263906304,478.6619824090208,0.2490052228851126,,,,86.1876,492.28785
2025-05-04 20:00:00,2025-05-07 19:59:01,3.0,6.278224575294683,292.8713410472386,275.58344263906304,478.6619824090208,0.2490052228851126,,,,148.84868,464.86935
2025-05-04 21:00:00,2025-05-07 19:59:01,3.0,6.278224575294683,292.8713410472386,275.58344263906304,478.6619824090208,0.2490052228851126,,,,211.61041,436.43504
2025-05-04 22:00:00,2025-05-07 19:59:01,3.0,5.830115925718193,290.79887191054905,277.0827657612359,811.3246342043839,0.544340311065836,,,,269.43764,420.43717
2025-05-04 23:00:00,2025-05-07 19:59:01,3.0,5.830115925718193,290.79887191054905,277.0827657612359,811.3246342043839,0.544340311065836,,,,314.28931,445.48298
2025-05-05 00:00:00,2025-05-07 19:59:01,3.0,5.830115925718193,290.79887191054905,277.0827657612359,811.3246342043839,0.544340311065836,,,,9624.52999,3816.19007
2025-05-05 01:00:00,2025-05-07 19:59:01,3.0,5.131370737345439,285.9981058626463,277.60922068393074,649.5986921334243,1.1680969671468175,,,,4156.49987,3868.6
2025-05-05 02:00:00,2025-05-07 19:59:01,3.0,5.131370737345439,285.9981058626463,277.60922068393074,649.5986921334243,1.1680969671468175,,,,253.87955,463.16201
2025-05-05 03:00:00,2025-05-07 19:59:01,3.0,5.131370737345439,285.9981058626463,277.60922068393074,649.5986921334243,1.1680969671468175,,,,198.46899,464.55138
2025-05-05 04:00:00,2025-05-07 19:59:01,3.0,4.698681804827743,284.0094375837916,277.8367963573341,69.47034960438869,1.76607229437097,,,,149.99165,469.36262
2025-05-05 05:00:00,2025-05-07 19:59:01,3.0,4.698681804827743,284.0094375837916,277.8367963573341,69.47034960438869,1.76607229437097,,,,106.22621,464.46187
2025-05-05 06:00:00,2025-05-07 19:59:01,3.0,4.698681804827743,284.0094375837916,277.8367963573341,69.47034960438869,1.76607229437097,,,,43.81747,465.77203
2025-05-05 07:00:00,2025-05-07 19:59:01,3.0,4.164937501734613,282.4557604979533,277.81802870430806,34.73508963687951,2.143486926522389,,,,11.63708,459.58567
2025-05-05 08:00:00,2025-05-07 19:59:01,3.0,4.164937501734613,282.4557604979533,277.81802870430806,34.73508963687951,2.143486926522389,,,,0.0,446.21853
2025-05-05 09:00:00,2025-05-07 19:59:01,3.0,4.164937501734613,282.4557604979533,277.81802870430806,34.73508963687951,2.143486926522389,,,,0.0,415.18078
2025-05-05 10:00:00,2025-05-07 19:59:01,3.0,3.9728354562050328,281.3157209853988,277.7975865859946,0.0,2.428475748846597,,,,0.0,433.02972
2025-05-05 11:00:00,2025-05-07 19:59:01,3.0,3.9728354562050328,281.3157209853988,277.7975865859946,0.0,2.428475748846597,,,,0.0,422.68683
2025-05-05 12:00:00,2025-05-07 19:59:01,3.0,3.9728354562050328,281.3157209853988,277.7975865859946,0.0,2.428475748846597,,,,0.69616,422.79276
2025-05-05 13:00:00,2025-05-07 19:59:01,3.0,5.224974686230197,284.72022639177806,278.31896359700806,0.6986457758235771,2.866525397473286,,,,11.05378,427.27098
2025-05-05 14:00:00,2025-05-07 19:59:01,3.0,5.224974686230197,284.72022639177806,278.31896359700806,0.6986457758235771,2.866525397473286,,,,0.0,451.26854
2025-05-05 15:00:00,2025-05-07 19:59:01,3.0,5.224974686230197,284.72022639177806,278.31896359700806,0.6986457758235771,2.866525397473286,,,,0.0,471.44055
