,UTC time,creation_time (UTC),version,carbon_intensity,hydro
0,2025-04-19 00:00:00,2025-04-24 20:51:56,3.0,0.0,526.0
1,2025-04-19 01:00:00,2025-04-24 20:51:56,3.0,0.0,539.0
2,2025-04-19 02:00:00,2025-04-24 20:51:56,3.0,0.0,636.0
3,2025-04-19 03:00:00,2025-04-24 20:51:56,3.0,0.0,565.0
4,2025-04-19 04:00:00,2025-04-24 20:51:56,3.0,0.0,614.0
5,2025-04-19 05:00:00,2025-04-24 20:51:56,3.0,0.0,639.0
6,2025-04-19 06:00:00,2025-04-24 20:51:56,3.0,0.0,607.0
7,2025-04-19 07:00:00,2025-04-24 20:51:56,3.0,0.0,560.0
8,2025-04-19 08:00:00,2025-04-24 20:51:56,3.0,0.0,521.0
9,2025-04-19 09:00:00,2025-04-24 20:51:56,3.0,0.0,506.0
10,2025-04-19 10:00:00,2025-04-24 20:51:56,3.0,0.0,524.0
11,2025-04-19 11:00:00,2025-04-24 20:51:56,3.0,0.0,533.0
12,2025-04-19 12:00:00,2025-04-24 20:51:56,3.0,0.0,571.0
13,2025-04-19 13:00:00,2025-04-24 20:51:56,3.0,0.0,625.0
14,2025-04-19 14:00:00,2025-04-24 20:51:56,3.0,0.0,605.0
15,2025-04-19 15:00:00,2025-04-24 20:51:56,3.0,0.0,284.0
16,2025-04-19 16:00:00,2025-04-24 20:51:56,3.0,0.0,269.0
17,2025-04-19 17:00:00,2025-04-24 20:51:56,3.0,0.0,454.0
18,2025-04-19 18:00:00,2025-04-24 20:51:56,3.0,0.0,268.0
19,2025-04-19 19:00:00,2025-04-24 20:51:56,3.0,0.0,192.0
20,2025-04-19 20:00:00,2025-04-24 20:51:56,3.0,0.0,190.0
21,2025-04-19 21:00:00,2025-04-24 20:51:56,3.0,0.0,270.0
22,2025-04-19 22:00:00,2025-04-24 20:51:56,3.0,0.0,357.0
23,2025-04-19 23:00:00,2025-04-24 20:51:56,3.0,0.0,356.0
24,2025-04-20 00:00:00,2025-04-24 20:51:56,3.0,0.0,321.0
25,2025-04-20 01:00:00,2025-04-24 20:51:56,3.0,0.0,430.0
26,2025-04-20 02:00:00,2025-04-24 20:51:56,3.0,0.0,533.0
27,2025-04-20 03:00:00,2025-04-24 20:51:56,3.0,0.0,549.0
28,2025-04-20 04:00:00,2025-04-24 20:51:56,3.0,0.0,581.5
29,2025-04-20 05:00:00,2025-04-24 20:51:56,3.0,0.0,610.25
30,2025-04-20 06:00:00,2025-04-24 20:51:56,3.0,0.0,608.625
31,2025-04-20 07:00:00,2025-04-24 20:51:56,3.0,0.0,584.3125
32,2025-04-20 08:00:00,2025-04-24 20:51:56,3.0,0.0,552.65625
33,2025-04-20 09:00:00,2025-04-24 20:51:56,3.0,0.0,529.328125
34,2025-04-20 10:00:00,2025-04-24 20:51:56,3.0,0.0,526.6640625
35,2025-04-20 11:00:00,2025-04-24 20:51:56,3.0,0.0,529.83203125
36,2025-04-20 12:00:00,2025-04-24 20:51:56,3.0,0.0,550.416015625
37,2025-04-20 13:00:00,2025-04-24 20:51:56,3.0,0.0,587.7080078125
38,2025-04-20 14:00:00,2025-04-24 20:51:56,3.0,0.0,596.35400390625
39,2025-04-20 15:00:00,2025-04-24 20:51:56,3.0,0.0,440.177001953125
40,2025-04-20 16:00:00,2025-04-24 20:51:56,3.0,0.0,354.5885009765625
41,2025-04-20 17:00:00,2025-04-24 20:51:56,3.0,0.0,404.2942504882813
42,2025-04-20 18:00:00,2025-04-24 20:51:56,3.0,0.0,336.1471252441406
43,2025-04-20 19:00:00,2025-04-24 20:51:56,3.0,0.0,264.0735626220703
44,2025-04-20 20:00:00,2025-04-24 20:51:56,3.0,0.0,227.0367813110352
45,2025-04-20 21:00:00,2025-04-24 20:51:56,3.0,0.0,248.5183906555176
46,2025-04-20 22:00:00,2025-04-24 20:51:56,3.0,0.0,302.7591953277588
47,2025-04-20 23:00:00,2025-04-24 20:51:56,3.0,0.0,329.3795976638794
