UTC time,hydro
2025-04-19 00:00:00,526.0
2025-04-19 01:00:00,539.0
2025-04-19 02:00:00,636.0
2025-04-19 03:00:00,565.0
2025-04-19 04:00:00,614.0
2025-04-19 05:00:00,639.0
2025-04-19 06:00:00,607.0
2025-04-19 07:00:00,560.0
2025-04-19 08:00:00,521.0
2025-04-19 09:00:00,506.0
2025-04-19 10:00:00,524.0
2025-04-19 11:00:00,533.0
2025-04-19 12:00:00,571.0
2025-04-19 13:00:00,625.0
2025-04-19 14:00:00,605.0
2025-04-19 15:00:00,284.0
2025-04-19 16:00:00,269.0
2025-04-19 17:00:00,454.0
2025-04-19 18:00:00,268.0
2025-04-19 19:00:00,192.0
2025-04-19 20:00:00,190.0
2025-04-19 21:00:00,270.0
2025-04-19 22:00:00,357.0
2025-04-19 23:00:00,356.0
2025-04-20 00:00:00,321.0
2025-04-20 01:00:00,430.0
2025-04-20 02:00:00,533.0
2025-04-20 03:00:00,549.0
2025-04-20 04:00:00,581.5
2025-04-20 05:00:00,610.25
2025-04-20 06:00:00,608.625
2025-04-20 07:00:00,584.3125
2025-04-20 08:00:00,552.65625
2025-04-20 09:00:00,529.328125
2025-04-20 10:00:00,526.6640625
2025-04-20 11:00:00,529.83203125
2025-04-20 12:00:00,550.416015625
2025-04-20 13:00:00,587.7080078125
2025-04-20 14:00:00,596.35400390625
2025-04-20 15:00:00,440.177001953125
2025-04-20 16:00:00,354.5885009765625
2025-04-20 17:00:00,404.29425048828125
2025-04-20 18:00:00,336.1471252441406
2025-04-20 19:00:00,264.0735626220703
2025-04-20 20:00:00,227.03678131103516
2025-04-20 21:00:00,248.51839065551758
2025-04-20 22:00:00,302.7591953277588
2025-04-20 23:00:00,329.3795976638794
