UTC time,creation_time (UTC),version,hydro
2025-04-19 00:00:00,2025-04-24 19:42:06,3.0,45.0
2025-04-19 01:00:00,2025-04-24 19:42:06,3.0,43.0
2025-04-19 02:00:00,2025-04-24 19:42:06,3.0,45.0
2025-04-19 03:00:00,2025-04-24 19:42:06,3.0,44.0
2025-04-19 04:00:00,2025-04-24 19:42:06,3.0,43.0
2025-04-19 05:00:00,2025-04-24 19:42:06,3.0,43.0
2025-04-19 06:00:00,2025-04-24 19:42:06,3.0,45.0
2025-04-19 07:00:00,2025-04-24 19:42:06,3.0,45.0
2025-04-19 08:00:00,2025-04-24 19:42:06,3.0,44.0
2025-04-19 09:00:00,2025-04-24 19:42:06,3.0,47.0
2025-04-19 10:00:00,2025-04-24 19:42:06,3.0,46.0
2025-04-19 11:00:00,2025-04-24 19:42:06,3.0,48.0
2025-04-19 12:00:00,2025-04-24 19:42:06,3.0,45.0
2025-04-19 13:00:00,2025-04-24 19:42:06,3.0,46.0
2025-04-19 14:00:00,2025-04-24 19:42:06,3.0,43.0
2025-04-19 15:00:00,2025-04-24 19:42:06,3.0,44.0
2025-04-19 16:00:00,2025-04-24 19:42:06,3.0,44.0
2025-04-19 17:00:00,2025-04-24 19:42:06,3.0,44.0
2025-04-19 18:00:00,2025-04-24 19:42:06,3.0,42.0
2025-04-19 19:00:00,2025-04-24 19:42:06,3.0,42.0
2025-04-19 20:00:00,2025-04-24 19:42:06,3.0,44.0
2025-04-19 21:00:00,2025-04-24 19:42:06,3.0,43.0
2025-04-19 22:00:00,2025-04-24 19:42:06,3.0,44.0
2025-04-19 23:00:00,2025-04-24 19:42:06,3.0,43.0
2025-04-20 00:00:00,2025-04-24 19:42:06,3.0,44.0
2025-04-20 01:00:00,2025-04-24 19:42:06,3.0,43.5
2025-04-20 02:00:00,2025-04-24 19:42:06,3.0,44.25
2025-04-20 03:00:00,2025-04-24 19:42:06,3.0,44.125
2025-04-20 04:00:00,2025-04-24 19:42:06,3.0,43.5625
2025-04-20 05:00:00,2025-04-24 19:42:06,3.0,43.28125
2025-04-20 06:00:00,2025-04-24 19:42:06,3.0,44.140625
2025-04-20 07:00:00,2025-04-24 19:42:06,3.0,44.5703125
2025-04-20 08:00:00,2025-04-24 19:42:06,3.0,44.28515625
2025-04-20 09:00:00,2025-04-24 19:42:06,3.0,45.642578125
2025-04-20 10:00:00,2025-04-24 19:42:06,3.0,45.8212890625
2025-04-20 11:00:00,2025-04-24 19:42:06,3.0,46.91064453125
2025-04-20 12:00:00,2025-04-24 19:42:06,3.0,45.955322265625
2025-04-20 13:00:00,2025-04-24 19:42:06,3.0,45.9776611328125
2025-04-20 14:00:00,2025-04-24 19:42:06,3.0,44.48883056640625
2025-04-20 15:00:00,2025-04-24 19:42:06,3.0,44.244415283203125
2025-04-20 16:00:00,2025-04-24 19:42:06,3.0,44.12220764160156
2025-04-20 17:00:00,2025-04-24 19:42:06,3.0,44.06110382080078
2025-04-20 18:00:00,2025-04-24 19:42:06,3.0,43.03055191040039
2025-04-20 19:00:00,2025-04-24 19:42:06,3.0,42.5152759552002
2025-04-20 20:00:00,2025-04-24 19:42:06,3.0,43.2576379776001
2025-04-20 21:00:00,2025-04-24 19:42:06,3.0,43.12881898880005
2025-04-20 22:00:00,2025-04-24 19:42:06,3.0,43.56440949440002
2025-04-20 23:00:00,2025-04-24 19:42:06,3.0,43.28220474720001
