,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,other
23,2025-04-25 23:00:00,2025-05-01 04:36:13,3.0,632.44,1679.0,461.0,0.0,64.0,77.0,70.0
24,2025-04-26 00:00:00,2025-05-01 04:36:13,3.0,652.25,1722.0,460.0,0.0,63.0,14.0,71.0
25,2025-04-26 01:00:00,2025-05-01 04:36:13,3.0,622.61,1581.0,628.5,0.0,81.5,7.0,70.5
26,2025-04-26 02:00:00,2025-05-01 04:36:13,3.0,613.07,1505.5,706.75,0.0,72.75,3.5,69.75
27,2025-04-26 03:00:00,2025-05-01 04:36:13,3.0,611.65,1449.75,703.375,0.0,67.875,1.75,68.875
28,2025-04-26 04:00:00,2025-05-01 04:36:13,3.0,614.17,1345.875,643.6875,0.0,58.4375,0.875,68.4375
29,2025-04-26 05:00:00,2025-05-01 04:36:13,3.0,623.18,1213.9375,569.84375,0.0,29.21875,0.4375,69.21875
30,2025-04-26 06:00:00,2025-05-01 04:36:13,3.0,626.12,1096.46875,522.921875,0.0,14.609375,0.21875,70.109375
31,2025-04-26 07:00:00,2025-05-01 04:36:13,3.0,627.82,1036.234375,498.9609375,0.0,7.3046875,0.109375,69.5546875
32,2025-04-26 08:00:00,2025-05-01 04:36:13,3.0,628.07,1000.6171875,488.48046875,0.0,3.65234375,0.0546875,68.27734375
33,2025-04-26 09:00:00,2025-05-01 04:36:13,3.0,629.63,998.30859375,482.240234375,0.0,1.826171875,0.02734375,69.138671875
34,2025-04-26 10:00:00,2025-05-01 04:36:13,3.0,631.04,1007.654296875,480.6201171875,0.0,0.9130859375,0.013671875,69.5693359375
35,2025-04-26 11:00:00,2025-05-01 04:36:13,3.0,636.32,1071.8271484375,480.81005859375,0.0,0.45654296875,0.0068359375,68.78466796875
36,2025-04-26 12:00:00,2025-05-01 04:36:13,3.0,638.11,1150.91357421875,480.405029296875,0.0,0.228271484375,11.00341796875,68.392333984375
37,2025-04-26 13:00:00,2025-05-01 04:36:13,3.0,629.79,1198.956787109375,480.7025146484375,0.0,0.1141357421875,43.501708984375,68.6961669921875
