UTC time,creation_time (UTC),version,coal,nat_gas,oil,hydro,solar,other
2025-04-25 00:00:00,2025-05-01 04:36:13,3.0,1380.0,780.0,0.0,145.0,11.0,69.0
2025-04-25 01:00:00,2025-05-01 04:36:13,3.0,1440.0,797.0,0.0,100.0,0.0,70.0
2025-04-25 02:00:00,2025-05-01 04:36:13,3.0,1430.0,785.0,0.0,64.0,0.0,69.0
2025-04-25 03:00:00,2025-05-01 04:36:13,3.0,1394.0,700.0,0.0,63.0,0.0,68.0
2025-04-25 04:00:00,2025-05-01 04:36:13,3.0,1242.0,584.0,0.0,49.0,0.0,68.0
2025-04-25 05:00:00,2025-05-01 04:36:13,3.0,1082.0,496.0,0.0,0.0,0.0,70.0
2025-04-25 06:00:00,2025-05-01 04:36:13,3.0,979.0,476.0,0.0,0.0,0.0,71.0
2025-04-25 07:00:00,2025-05-01 04:36:13,3.0,976.0,475.0,0.0,0.0,0.0,69.0
2025-04-25 08:00:00,2025-05-01 04:36:13,3.0,965.0,478.0,0.0,0.0,0.0,67.0
2025-04-25 09:00:00,2025-05-01 04:36:13,3.0,996.0,476.0,0.0,0.0,0.0,70.0
2025-04-25 10:00:00,2025-05-01 04:36:13,3.0,1017.0,479.0,0.0,0.0,0.0,70.0
2025-04-25 11:00:00,2025-05-01 04:36:13,3.0,1136.0,481.0,0.0,0.0,0.0,68.0
2025-04-25 12:00:00,2025-05-01 04:36:13,3.0,1230.0,480.0,0.0,0.0,22.0,68.0
2025-04-25 13:00:00,2025-05-01 04:36:13,3.0,1247.0,481.0,0.0,0.0,76.0,69.0
2025-04-25 14:00:00,2025-05-01 04:36:13,3.0,1325.0,477.0,0.0,0.0,157.0,68.0
2025-04-25 15:00:00,2025-05-01 04:36:13,3.0,1357.0,475.0,0.0,0.0,201.0,69.0
2025-04-25 16:00:00,2025-05-01 04:36:13,3.0,1481.0,473.0,0.0,17.0,212.0,69.0
2025-04-25 17:00:00,2025-05-01 04:36:13,3.0,1561.0,469.0,0.0,63.0,221.0,68.0
2025-04-25 18:00:00,2025-05-01 04:36:13,3.0,1649.0,469.0,0.0,63.0,225.0,66.0
2025-04-25 19:00:00,2025-05-01 04:36:13,3.0,1720.0,466.0,0.0,63.0,216.0,66.0
2025-04-25 20:00:00,2025-05-01 04:36:13,3.0,1728.0,465.0,0.0,64.0,201.0,66.0
2025-04-25 21:00:00,2025-05-01 04:36:13,3.0,1624.0,460.0,0.0,63.0,182.0,66.0
2025-04-25 22:00:00,2025-05-01 04:36:13,3.0,1601.0,461.0,0.0,62.0,171.0,71.0
