,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,solar
0,2025-04-19 00:00:00,2025-04-24 19:42:06,3.0,603.95,500.0,948.0,0.0
1,2025-04-19 01:00:00,2025-04-24 19:42:06,3.0,607.92,516.0,928.0,0.0
2,2025-04-19 02:00:00,2025-04-24 19:42:06,3.0,623.58,559.0,822.0,0.0
3,2025-04-19 03:00:00,2025-04-24 19:42:06,3.0,629.54,537.0,733.0,0.0
4,2025-04-19 04:00:00,2025-04-24 19:42:06,3.0,653.66,549.0,558.0,0.0
5,2025-04-19 05:00:00,2025-04-24 19:42:06,3.0,655.16,531.0,530.0,0.0
6,2025-04-19 06:00:00,2025-04-24 19:42:06,3.0,634.92,415.0,530.0,0.0
7,2025-04-19 07:00:00,2025-04-24 19:42:06,3.0,627.44,379.0,531.0,0.0
8,2025-04-19 08:00:00,2025-04-24 19:42:06,3.0,620.46,321.0,491.0,0.0
9,2025-04-19 09:00:00,2025-04-24 19:42:06,3.0,631.43,321.0,428.0,0.0
10,2025-04-19 10:00:00,2025-04-24 19:42:06,3.0,669.28,383.0,322.0,0.0
11,2025-04-19 11:00:00,2025-04-24 19:42:06,3.0,723.31,555.0,230.0,0.0
12,2025-04-19 12:00:00,2025-04-24 19:42:06,3.0,715.24,544.0,253.0,0.0
13,2025-04-19 13:00:00,2025-04-24 19:42:06,3.0,696.15,541.0,325.0,0.0
14,2025-04-19 14:00:00,2025-04-24 19:42:06,3.0,685.96,572.0,388.0,1.0
15,2025-04-19 15:00:00,2025-04-24 19:42:06,3.0,684.56,575.0,397.0,1.0
16,2025-04-19 16:00:00,2025-04-24 19:42:06,3.0,680.86,567.0,410.0,1.0
17,2025-04-19 17:00:00,2025-04-24 19:42:06,3.0,682.61,578.0,409.0,1.0
18,2025-04-19 18:00:00,2025-04-24 19:42:06,3.0,676.82,572.0,435.0,1.0
19,2025-04-19 19:00:00,2025-04-24 19:42:06,3.0,667.75,575.0,489.0,1.0
20,2025-04-19 20:00:00,2025-04-24 19:42:06,3.0,683.18,616.0,433.0,1.0
21,2025-04-19 21:00:00,2025-04-24 19:42:06,3.0,685.41,600.0,410.0,1.0
22,2025-04-19 22:00:00,2025-04-24 19:42:06,3.0,684.2,591.0,410.0,1.0
23,2025-04-19 23:00:00,2025-04-24 19:42:06,3.0,687.29,611.0,411.0,0.0
24,2025-04-20 00:00:00,2025-04-24 19:42:06,3.0,675.47,530.0,413.0,0.0
25,2025-04-20 01:00:00,2025-04-24 19:42:06,3.0,634.61,523.0,670.5,0.0
26,2025-04-20 02:00:00,2025-04-24 19:42:06,3.0,628.69,541.0,746.25,0.0
27,2025-04-20 03:00:00,2025-04-24 19:42:06,3.0,629.11,539.0,739.625,0.0
28,2025-04-20 04:00:00,2025-04-24 19:42:06,3.0,640.5,544.0,648.8125,0.0
29,2025-04-20 05:00:00,2025-04-24 19:42:06,3.0,647.4,537.5,589.40625,0.0
30,2025-04-20 06:00:00,2025-04-24 19:42:06,3.0,641.71,476.25,559.703125,0.0
31,2025-04-20 07:00:00,2025-04-24 19:42:06,3.0,635.04,427.625,545.3515625,0.0
32,2025-04-20 08:00:00,2025-04-24 19:42:06,3.0,628.4,374.3125,518.17578125,0.0
33,2025-04-20 09:00:00,2025-04-24 19:42:06,3.0,629.78,347.65625,473.087890625,0.0
34,2025-04-20 10:00:00,2025-04-24 19:42:06,3.0,648.03,365.328125,397.5439453125,0.0
35,2025-04-20 11:00:00,2025-04-24 19:42:06,3.0,686.21,460.1640625,313.77197265625,0.0
36,2025-04-20 12:00:00,2025-04-24 19:42:06,3.0,700.94,502.08203125,283.385986328125,0.0
37,2025-04-20 13:00:00,2025-04-24 19:42:06,3.0,698.43,521.541015625,304.1929931640625,0.0
38,2025-04-20 14:00:00,2025-04-24 19:42:06,3.0,691.72,546.7705078125,346.09649658203125,0.5
39,2025-04-20 15:00:00,2025-04-24 19:42:06,3.0,687.99,560.88525390625,371.5482482910156,0.75
40,2025-04-20 16:00:00,2025-04-24 19:42:06,3.0,684.34,563.942626953125,390.7741241455078,0.875
41,2025-04-20 17:00:00,2025-04-24 19:42:06,3.0,683.46,570.9713134765625,399.8870620727539,0.9375
42,2025-04-20 18:00:00,2025-04-24 19:42:06,3.0,680.08,571.4856567382812,417.44353103637695,0.96875
43,2025-04-20 19:00:00,2025-04-24 19:42:06,3.0,673.69,573.2428283691406,453.2217655181885,0.984375
44,2025-04-20 20:00:00,2025-04-24 19:42:06,3.0,678.48,594.6214141845703,443.11088275909424,0.9921875
45,2025-04-20 21:00:00,2025-04-24 19:42:06,3.0,681.9,597.3107070922852,426.5554413795471,0.99609375
46,2025-04-20 22:00:00,2025-04-24 19:42:06,3.0,683.03,594.1553535461426,418.2777206897736,0.998046875
47,2025-04-20 23:00:00,2025-04-24 19:42:06,3.0,685.17,602.5776767730713,414.6388603448868,0.4990234375
