datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2025-05-06 00:00:00,2025-05-08 22:24:46,3.0,4.312424888217322,285.6401051562584,285.00661874211903,0.1028867757632826,1.895062595675177,,,,,2891.62005,
2025-05-06 01:00:00,2025-05-08 22:24:46,3.0,4.312424888217322,285.6401051562584,285.00661874211903,0.1028867757632826,1.895062595675177,,,,,3109.7626,
2025-05-06 02:00:00,2025-05-08 22:24:46,3.0,4.312424888217322,285.6401051562584,285.00661874211903,0.1028867757632826,1.895062595675177,,,,,3110.70391,
2025-05-06 03:00:00,2025-05-08 22:24:46,3.0,4.312424888217322,285.6401051562584,285.00661874211903,0.1028867757632826,1.895062595675177,,,,,3172.6695,
2025-05-06 04:00:00,2025-05-08 22:24:46,3.0,4.255472690632856,285.3522489741515,284.82204545544755,0.1028867757632826,1.895062595675177,,,,,3189.78742,
2025-05-06 05:00:00,2025-05-08 22:24:46,3.0,4.255472690632856,285.3522489741515,284.82204545544755,0.1028867757632826,1.895062595675177,,,,,3190.3519,
2025-05-06 06:00:00,2025-05-08 22:24:46,3.0,4.255472690632856,285.3522489741515,284.82204545544755,0.1028867757632826,1.895062595675177,,,,,3175.10838,
2025-05-06 07:00:00,2025-05-08 22:24:46,3.0,3.949021807541226,284.9861701701361,284.51810916863474,0.0514693327573941,3.810277865812078,,,,,3183.70716,
2025-05-06 08:00:00,2025-05-08 22:24:46,3.0,3.949021807541226,284.9861701701361,284.51810916863474,0.0514693327573941,3.810277865812078,,,,,3175.75692,
2025-05-06 09:00:00,2025-05-08 22:24:46,3.0,3.949021807541226,284.9861701701361,284.51810916863474,0.0514693327573941,3.810277865812078,,,,,3165.79613,
2025-05-06 10:00:00,2025-05-08 22:24:46,3.0,3.729715027108088,285.5343623241155,284.8902213756595,0.0,5.333862686809624,,,,,3123.89382,
2025-05-06 11:00:00,2025-05-08 22:24:46,3.0,3.729715027108088,285.5343623241155,284.8902213756595,0.0,5.333862686809624,,,,,3107.83593,
2025-05-06 12:00:00,2025-05-08 22:24:46,3.0,3.729715027108088,285.5343623241155,284.8902213756595,0.0,5.333862686809624,,,,,3116.71734,
2025-05-06 13:00:00,2025-05-08 22:24:46,3.0,3.892754265226183,287.43359452084775,285.4939378635171,13.316248670039126,6.170236681391183,,,,,3119.35766,
2025-05-06 14:00:00,2025-05-08 22:24:46,3.0,3.892754265226183,287.43359452084775,285.4939378635171,13.316248670039126,6.170236681391183,,,,,3140.46296,
2025-05-06 15:00:00,2025-05-08 22:24:46,3.0,3.892754265226183,287.43359452084775,285.4939378635171,13.316248670039126,6.170236681391183,,,,,3154.71213,
2025-05-06 16:00:00,2025-05-08 22:24:46,3.0,4.0362416026278565,288.8564306700677,285.58432072133394,212.1201427444652,6.775123028610032,,,,,3150.46625,
2025-05-06 17:00:00,2025-05-08 22:24:46,3.0,4.0362416026278565,288.8564306700677,285.58432072133394,212.1201427444652,6.775123028610032,,,,,3139.47492,
2025-05-06 18:00:00,2025-05-08 22:24:46,3.0,4.0362416026278565,288.8564306700677,285.58432072133394,212.1201427444652,6.775123028610032,,,,,3143.1498,
2025-05-06 19:00:00,2025-05-08 22:24:46,3.0,3.901218844589441,288.1153059001059,285.3754090725015,309.16016973972074,7.88861673345577,,,,,3112.61182,
2025-05-06 20:00:00,2025-05-08 22:24:46,3.0,3.901218844589441,288.1153059001059,285.3754090725015,309.16016973972074,7.88861673345577,,,,,3102.953,
2025-05-06 21:00:00,2025-05-08 22:24:46,3.0,3.901218844589441,288.1153059001059,285.3754090725015,309.16016973972074,7.88861673345577,,,,,3087.36481,
2025-05-06 22:00:00,2025-05-08 22:24:46,3.0,3.399455067008047,285.82907362778394,284.48178253796647,333.88515334337205,10.308830056412798,,,,,3090.20943,
2025-05-06 23:00:00,2025-05-08 22:24:46,3.0,3.399455067008047,285.82907362778394,284.48178253796647,333.88515334337205,10.308830056412798,,,,,3089.47568,
2025-05-07 00:00:00,2025-05-08 22:24:46,3.0,3.399455067008047,285.82907362778394,284.48178253796647,333.88515334337205,10.308830056412798,,,,,2891.62005,
2025-05-07 01:00:00,2025-05-08 22:24:46,3.0,3.0673354254331344,284.4653224998763,283.64354764831137,218.29487004509585,13.205613666109926,,,,,2958.66005,
2025-05-07 02:00:00,2025-05-08 22:24:46,3.0,3.0673354254331344,284.4653224998763,283.64354764831137,218.29487004509585,13.205613666109926,,,,,3110.70391,
2025-05-07 03:00:00,2025-05-08 22:24:46,3.0,3.0673354254331344,284.4653224998763,283.64354764831137,218.29487004509585,13.205613666109926,,,,,3172.6695,
2025-05-07 04:00:00,2025-05-08 22:24:46,3.0,2.9225285879242,283.6354649980313,282.95315633692326,0.2400266791864306,14.729415597357264,,,,,3189.78742,
2025-05-07 05:00:00,2025-05-08 22:24:46,3.0,2.9225285879242,283.6354649980313,282.95315633692326,0.2400266791864306,14.729415597357264,,,,,3190.3519,
2025-05-07 06:00:00,2025-05-08 22:24:46,3.0,2.9225285879242,283.6354649980313,282.95315633692326,0.2400266791864306,14.729415597357264,,,,,3175.10838,
2025-05-07 07:00:00,2025-05-08 22:24:46,3.0,2.892924645035775,282.9199415139314,282.2617530095724,0.1198040948063196,15.689219634196943,,,,,3183.70716,
2025-05-07 08:00:00,2025-05-08 22:24:46,3.0,2.892924645035775,282.9199415139314,282.2617530095724,0.1198040948063196,15.689219634196943,,,,,3175.75692,
2025-05-07 09:00:00,2025-05-08 22:24:46,3.0,2.892924645035775,282.9199415139314,282.2617530095724,0.1198040948063196,15.689219634196943,,,,,3165.79613,
2025-05-07 10:00:00,2025-05-08 22:24:46,3.0,3.1499917388183576,284.07868786406243,282.8920926439032,0.0,16.198063408515424,,,,,3123.89382,
