UTC time,creation_time (UTC),version,coal,nat_gas,wind
2025-04-19 00:00:00,2025-04-24 22:29:03,3.0,2029.0,431.0,80.0
2025-04-19 01:00:00,2025-04-24 22:29:03,3.0,1930.0,438.0,130.0
2025-04-19 02:00:00,2025-04-24 22:29:03,3.0,1944.0,445.0,113.0
2025-04-19 03:00:00,2025-04-24 22:29:03,3.0,1784.0,375.0,234.0
2025-04-19 04:00:00,2025-04-24 22:29:03,3.0,1490.0,216.0,427.0
2025-04-19 05:00:00,2025-04-24 22:29:03,3.0,1350.0,152.0,485.0
2025-04-19 06:00:00,2025-04-24 22:29:03,3.0,1154.0,154.0,554.0
2025-04-19 07:00:00,2025-04-24 22:29:03,3.0,999.0,185.0,535.0
2025-04-19 08:00:00,2025-04-24 22:29:03,3.0,994.0,217.0,413.0
2025-04-19 09:00:00,2025-04-24 22:29:03,3.0,1169.0,195.0,358.0
2025-04-19 10:00:00,2025-04-24 22:29:03,3.0,1189.0,174.0,412.0
2025-04-19 11:00:00,2025-04-24 22:29:03,3.0,1367.0,217.0,358.0
2025-04-19 12:00:00,2025-04-24 22:29:03,3.0,1643.0,283.0,240.0
2025-04-19 13:00:00,2025-04-24 22:29:03,3.0,1885.0,592.0,216.0
2025-04-19 14:00:00,2025-04-24 22:29:03,3.0,1988.0,679.0,254.0
2025-04-19 15:00:00,2025-04-24 22:29:03,3.0,2069.0,694.0,258.0
2025-04-19 16:00:00,2025-04-24 22:29:03,3.0,1984.0,681.0,372.0
2025-04-19 17:00:00,2025-04-24 22:29:03,3.0,1997.0,707.0,361.0
2025-04-19 18:00:00,2025-04-24 22:29:03,3.0,1884.0,737.0,262.0
2025-04-19 19:00:00,2025-04-24 22:29:03,3.0,1789.0,738.0,183.0
2025-04-19 20:00:00,2025-04-24 22:29:03,3.0,1675.0,715.0,127.0
2025-04-19 21:00:00,2025-04-24 22:29:03,3.0,1699.0,708.0,127.0
2025-04-19 22:00:00,2025-04-24 22:29:03,3.0,1826.0,699.0,89.0
2025-04-19 23:00:00,2025-04-24 22:29:03,3.0,1888.0,703.0,95.0
2025-04-20 00:00:00,2025-04-24 22:29:03,3.0,1975.0,706.0,118.0
2025-04-20 01:00:00,2025-04-24 22:29:03,3.0,1952.5,572.0,124.0
2025-04-20 02:00:00,2025-04-24 22:29:03,3.0,1948.25,508.5,118.5
2025-04-20 03:00:00,2025-04-24 22:29:03,3.0,1866.125,441.75,176.25
2025-04-20 04:00:00,2025-04-24 22:29:03,3.0,1678.0625,328.875,301.625
2025-04-20 05:00:00,2025-04-24 22:29:03,3.0,1514.03125,240.4375,393.3125
2025-04-20 06:00:00,2025-04-24 22:29:03,3.0,1334.015625,197.21875,473.65625
2025-04-20 07:00:00,2025-04-24 22:29:03,3.0,1166.5078125,191.109375,504.328125
2025-04-20 08:00:00,2025-04-24 22:29:03,3.0,1080.25390625,204.0546875,458.6640625
2025-04-20 09:00:00,2025-04-24 22:29:03,3.0,1124.626953125,199.52734375,408.33203125
2025-04-20 10:00:00,2025-04-24 22:29:03,3.0,1156.8134765625,186.763671875,410.166015625
2025-04-20 11:00:00,2025-04-24 22:29:03,3.0,1261.90673828125,201.8818359375,384.0830078125
2025-04-20 12:00:00,2025-04-24 22:29:03,3.0,1452.453369140625,242.44091796875,312.04150390625
2025-04-20 13:00:00,2025-04-24 22:29:03,3.0,1668.7266845703125,417.220458984375,264.020751953125
2025-04-20 14:00:00,2025-04-24 22:29:03,3.0,1828.363342285156,548.1102294921875,259.0103759765625
2025-04-20 15:00:00,2025-04-24 22:29:03,3.0,1948.681671142578,621.0551147460938,258.50518798828125
2025-04-20 16:00:00,2025-04-24 22:29:03,3.0,1966.340835571289,651.0275573730469,315.2525939941406
2025-04-20 17:00:00,2025-04-24 22:29:03,3.0,1981.6704177856443,679.0137786865234,338.1262969970703
2025-04-20 18:00:00,2025-04-24 22:29:03,3.0,1932.8352088928225,708.0068893432617,300.0631484985352
2025-04-20 19:00:00,2025-04-24 22:29:03,3.0,1860.9176044464111,723.0034446716309,241.5315742492676
2025-04-20 20:00:00,2025-04-24 22:29:03,3.0,1767.9588022232056,719.0017223358154,184.2657871246338
2025-04-20 21:00:00,2025-04-24 22:29:03,3.0,1733.4794011116028,713.5008611679077,155.6328935623169
2025-04-20 22:00:00,2025-04-24 22:29:03,3.0,1779.7397005558014,706.2504305839539,122.31644678115843
2025-04-20 23:00:00,2025-04-24 22:29:03,3.0,1833.8698502779007,704.6252152919769,108.65822339057922
