UTC time,creation_time (UTC),version,coal,nat_gas,wind
2025-04-25 00:00:00,2025-05-01 04:36:13,3.0,1362.0,862.0,257.0
2025-04-25 01:00:00,2025-05-01 04:36:13,3.0,1389.0,785.0,196.0
2025-04-25 02:00:00,2025-05-01 04:36:13,3.0,1390.0,784.0,163.0
2025-04-25 03:00:00,2025-05-01 04:36:13,3.0,1270.0,757.0,162.0
2025-04-25 04:00:00,2025-05-01 04:36:13,3.0,1000.0,688.0,196.0
2025-04-25 05:00:00,2025-05-01 04:36:13,3.0,933.0,567.0,180.0
2025-04-25 06:00:00,2025-05-01 04:36:13,3.0,940.0,636.0,187.0
2025-04-25 07:00:00,2025-05-01 04:36:13,3.0,894.0,530.0,306.0
2025-04-25 08:00:00,2025-05-01 04:36:13,3.0,882.0,649.0,146.0
2025-04-25 09:00:00,2025-05-01 04:36:13,3.0,933.0,659.0,69.0
2025-04-25 10:00:00,2025-05-01 04:36:13,3.0,856.0,657.0,168.0
2025-04-25 11:00:00,2025-05-01 04:36:13,3.0,898.0,661.0,304.0
2025-04-25 12:00:00,2025-05-01 04:36:13,3.0,935.0,678.0,520.0
2025-04-25 13:00:00,2025-05-01 04:36:13,3.0,930.0,655.0,510.0
2025-04-25 14:00:00,2025-05-01 04:36:13,3.0,1036.0,696.0,387.0
2025-04-25 15:00:00,2025-05-01 04:36:13,3.0,1106.0,630.0,317.0
2025-04-25 16:00:00,2025-05-01 04:36:13,3.0,1101.0,565.0,365.0
2025-04-25 17:00:00,2025-05-01 04:36:13,3.0,1046.0,577.0,412.0
2025-04-25 18:00:00,2025-05-01 04:36:13,3.0,1056.0,565.0,471.0
2025-04-25 19:00:00,2025-05-01 04:36:13,3.0,1128.0,663.0,408.0
2025-04-25 20:00:00,2025-05-01 04:36:13,3.0,1203.0,700.0,323.0
2025-04-25 21:00:00,2025-05-01 04:36:13,3.0,1322.0,695.0,226.0
2025-04-25 22:00:00,2025-05-01 04:36:13,3.0,1234.0,688.0,289.0
2025-04-25 23:00:00,2025-05-01 04:36:13,3.0,1230.0,678.0,357.0
2025-04-26 00:00:00,2025-05-01 04:36:13,3.0,1269.0,676.0,388.0
2025-04-26 01:00:00,2025-05-01 04:36:13,3.0,1329.0,730.5,292.0
2025-04-26 02:00:00,2025-05-01 04:36:13,3.0,1359.5,757.25,227.5
2025-04-26 03:00:00,2025-05-01 04:36:13,3.0,1314.75,757.125,194.75
2025-04-26 04:00:00,2025-05-01 04:36:13,3.0,1157.375,722.5625,195.375
2025-04-26 05:00:00,2025-05-01 04:36:13,3.0,1045.1875,644.78125,187.6875
2025-04-26 06:00:00,2025-05-01 04:36:13,3.0,992.59375,640.390625,187.34375
2025-04-26 07:00:00,2025-05-01 04:36:13,3.0,943.296875,585.1953125,246.671875
2025-04-26 08:00:00,2025-05-01 04:36:13,3.0,912.6484375,617.09765625,196.3359375
2025-04-26 09:00:00,2025-05-01 04:36:13,3.0,922.82421875,638.048828125,132.66796875
2025-04-26 10:00:00,2025-05-01 04:36:13,3.0,889.412109375,647.5244140625,150.333984375
2025-04-26 11:00:00,2025-05-01 04:36:13,3.0,893.7060546875,654.26220703125,227.1669921875
2025-04-26 12:00:00,2025-05-01 04:36:13,3.0,914.35302734375,666.131103515625,373.58349609375
2025-04-26 13:00:00,2025-05-01 04:36:13,3.0,922.176513671875,660.5655517578125,441.791748046875
2025-04-26 14:00:00,2025-05-01 04:36:13,3.0,979.0882568359376,678.2827758789062,414.3958740234375
2025-04-26 15:00:00,2025-05-01 04:36:13,3.0,1042.5441284179688,654.1413879394531,365.6979370117188
2025-04-26 16:00:00,2025-05-01 04:36:13,3.0,1071.7720642089844,609.5706939697266,365.3489685058594
2025-04-26 17:00:00,2025-05-01 04:36:13,3.0,1058.8860321044922,593.2853469848633,388.6744842529297
2025-04-26 18:00:00,2025-05-01 04:36:13,3.0,1057.443016052246,579.1426734924316,429.8372421264648
2025-04-26 19:00:00,2025-05-01 04:36:13,3.0,1092.721508026123,621.0713367462158,418.9186210632324
2025-04-26 20:00:00,2025-05-01 04:36:13,3.0,1147.8607540130615,660.5356683731079,370.9593105316162
2025-04-26 21:00:00,2025-05-01 04:36:13,3.0,1234.9303770065308,677.767834186554,298.4796552658081
2025-04-26 22:00:00,2025-05-01 04:36:13,3.0,1234.4651885032654,682.883917093277,293.73982763290405
2025-04-26 23:00:00,2025-05-01 04:36:13,3.0,1232.2325942516327,680.4419585466385,325.369913816452
