datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_wind_production_forecast
2025-05-04 00:00:00,2025-05-08 01:08:32,3.0,2.8750248757163144,283.8375166444313,279.6245716178106,21.366732314745946,0.1513896630157878,,,3816.18996
2025-05-04 01:00:00,2025-05-08 01:08:32,3.0,2.8750248757163144,283.8375166444313,279.6245716178106,21.366732314745946,0.1513896630157878,,,181.49637
2025-05-04 02:00:00,2025-05-08 01:08:32,3.0,2.8750248757163144,283.8375166444313,279.6245716178106,21.366732314745946,0.1513896630157878,,,187.35959
2025-05-04 03:00:00,2025-05-08 01:08:32,3.0,2.8750248757163144,283.8375166444313,279.6245716178106,21.366732314745946,0.1513896630157878,,,199.4652
2025-05-04 04:00:00,2025-05-08 01:08:32,3.0,2.620033123223367,282.1625151356294,279.14046122763784,21.366732314745946,0.1513896630157878,,,202.33005
2025-05-04 05:00:00,2025-05-08 01:08:32,3.0,2.620033123223367,282.1625151356294,279.14046122763784,21.366732314745946,0.1513896630157878,,,194.35447
2025-05-04 06:00:00,2025-05-08 01:08:32,3.0,2.620033123223367,282.1625151356294,279.14046122763784,21.366732314745946,0.1513896630157878,,,178.2552
2025-05-04 07:00:00,2025-05-08 01:08:32,3.0,2.389973020558331,281.0403842862793,278.6749921091148,10.68346570459623,0.3384454265236394,,,166.28688
2025-05-04 08:00:00,2025-05-08 01:08:32,3.0,2.389973020558331,281.0403842862793,278.6749921091148,10.68346570459623,0.3384454265236394,,,160.3907
2025-05-04 09:00:00,2025-05-08 01:08:32,3.0,2.389973020558331,281.0403842862793,278.6749921091148,10.68346570459623,0.3384454265236394,,,153.68242
2025-05-04 10:00:00,2025-05-08 01:08:32,3.0,2.350598412912696,281.0833940160568,278.7863376606273,0.0,0.4490405709924275,,,144.90242
2025-05-04 11:00:00,2025-05-08 01:08:32,3.0,2.350598412912696,281.0833940160568,278.7863376606273,0.0,0.4490405709924275,,,136.95672
2025-05-04 12:00:00,2025-05-08 01:08:32,3.0,2.350598412912696,281.0833940160568,278.7863376606273,0.0,0.4490405709924275,,,132.54111
2025-05-04 13:00:00,2025-05-08 01:08:32,3.0,3.355641217365257,287.1840222702744,280.3974013101232,3.70261261817757,0.4637070852819094,,,132.18807
2025-05-04 14:00:00,2025-05-08 01:08:32,3.0,3.355641217365257,287.1840222702744,280.3974013101232,3.70261261817757,0.4637070852819094,,,133.89135
2025-05-04 15:00:00,2025-05-08 01:08:32,3.0,3.355641217365257,287.1840222702744,280.3974013101232,3.70261261817757,0.4637070852819094,,,129.20056
2025-05-04 16:00:00,2025-05-08 01:08:32,3.0,3.766368534193811,290.612648023079,280.24016587455515,354.2297354279406,0.4765347491485296,,,128.02901
2025-05-04 17:00:00,2025-05-08 01:08:32,3.0,3.766368534193811,290.612648023079,280.24016587455515,354.2297354279406,0.4765347491485296,,,134.38392
2025-05-04 18:00:00,2025-05-08 01:08:32,3.0,3.766368534193811,290.612648023079,280.24016587455515,354.2297354279406,0.4765347491485296,,,133.86256
2025-05-04 19:00:00,2025-05-08 01:08:32,3.0,3.758571541165433,291.5852329728208,280.6473644049976,566.3072620068135,0.5399712902623711,,,137.36302
2025-05-04 20:00:00,2025-05-08 01:08:32,3.0,3.758571541165433,291.5852329728208,280.6473644049976,566.3072620068135,0.5399712902623711,,,142.7588
2025-05-04 21:00:00,2025-05-08 01:08:32,3.0,3.758571541165433,291.5852329728208,280.6473644049976,566.3072620068135,0.5399712902623711,,,145.26485
2025-05-04 22:00:00,2025-05-08 01:08:32,3.0,2.9519621534690645,289.52661849582927,282.76542335045303,751.1640151371685,0.6200001264655893,,,143.36484
2025-05-04 23:00:00,2025-05-08 01:08:32,3.0,2.9519621534690645,289.52661849582927,282.76542335045303,751.1640151371685,0.6200001264655893,,,151.33389
2025-05-05 00:00:00,2025-05-08 01:08:32,3.0,2.9519621534690645,289.52661849582927,282.76542335045303,751.1640151371685,0.6200001264655893,,,3816.18996
2025-05-05 01:00:00,2025-05-08 01:08:32,3.0,2.738773488112793,284.8779476944926,280.8427140697081,563.4722062000346,0.6941193760746596,,,3868.60018
2025-05-05 02:00:00,2025-05-08 01:08:32,3.0,2.738773488112793,284.8779476944926,280.8427140697081,563.4722062000346,0.6941193760746596,,,187.35959
2025-05-05 03:00:00,2025-05-08 01:08:32,3.0,2.738773488112793,284.8779476944926,280.8427140697081,563.4722062000346,0.6941193760746596,,,199.4652
2025-05-05 04:00:00,2025-05-08 01:08:32,3.0,2.3321877104996003,283.4084156012898,280.4304178797174,20.897291392558245,0.7185059598982759,,,202.33005
2025-05-05 05:00:00,2025-05-08 01:08:32,3.0,2.3321877104996003,283.4084156012898,280.4304178797174,20.897291392558245,0.7185059598982759,,,194.35447
2025-05-05 06:00:00,2025-05-08 01:08:32,3.0,2.3321877104996003,283.4084156012898,280.4304178797174,20.897291392558245,0.7185059598982759,,,178.2552
2025-05-05 07:00:00,2025-05-08 01:08:32,3.0,2.061404296381516,282.5006301106532,280.10887292800123,10.448686588167243,0.7266232367744891,,,166.28688
2025-05-05 08:00:00,2025-05-08 01:08:32,3.0,2.061404296381516,282.5006301106532,280.10887292800123,10.448686588167243,0.7266232367744891,,,160.3907
2025-05-05 09:00:00,2025-05-08 01:08:32,3.0,2.061404296381516,282.5006301106532,280.10887292800123,10.448686588167243,0.7266232367744891,,,153.68242
2025-05-05 10:00:00,2025-05-08 01:08:32,3.0,2.0272046668202592,282.5719973439077,280.2779983433501,0.0,0.7337486104991755,,,144.90242
2025-05-05 11:00:00,2025-05-08 01:08:32,3.0,2.0272046668202592,282.5719973439077,280.2779983433501,0.0,0.7337486104991755,,,136.95672
2025-05-05 12:00:00,2025-05-08 01:08:32,3.0,2.0272046668202592,282.5719973439077,280.2779983433501,0.0,0.7337486104991755,,,132.54111
2025-05-05 13:00:00,2025-05-08 01:08:32,3.0,2.6884100335927013,288.1385258996164,281.8636514912523,2.8742424733788483,0.7381906175438022,,,132.18807
2025-05-05 14:00:00,2025-05-08 01:08:32,3.0,2.6884100335927013,288.1385258996164,281.8636514912523,2.8742424733788483,0.7381906175438022,,,133.89135
2025-05-05 15:00:00,2025-05-08 01:08:32,3.0,2.6884100335927013,288.1385258996164,281.8636514912523,2.8742424733788483,0.7381906175438022,,,129.20056
2025-05-05 16:00:00,2025-05-08 01:08:32,3.0,2.9252885535925897,291.2882323655921,281.9756257931068,304.09340787262903,0.7463177891620654,,,128.02901
2025-05-05 17:00:00,2025-05-08 01:08:32,3.0,2.9252885535925897,291.2882323655921,281.9756257931068,304.09340787262903,0.7463177891620654,,,134.38392
2025-05-05 18:00:00,2025-05-08 01:08:32,3.0,2.9252885535925897,291.2882323655921,281.9756257931068,304.09340787262903,0.7463177891620654,,,133.86256
2025-05-05 19:00:00,2025-05-08 01:08:32,3.0,2.673059609212731,292.0360654292633,282.3695478378774,498.7235729778739,0.7826263222039758,,,137.36302
2025-05-05 20:00:00,2025-05-08 01:08:32,3.0,2.673059609212731,292.0360654292633,282.3695478378774,498.7235729778739,0.7826263222039758,,,142.7588
2025-05-05 21:00:00,2025-05-08 01:08:32,3.0,2.673059609212731,292.0360654292633,282.3695478378774,498.7235729778739,0.7826263222039758,,,145.26485
2025-05-05 22:00:00,2025-05-08 01:08:32,3.0,2.407316444087292,290.1023440711156,284.12934660383826,653.0932126805744,0.8358104502332548,,,143.36484
2025-05-05 23:00:00,2025-05-08 01:08:32,3.0,2.407316444087292,290.1023440711156,284.12934660383826,653.0932126805744,0.8358104502332548,,,151.33389
2025-05-06 00:00:00,2025-05-08 01:08:32,3.0,2.407316444087292,290.1023440711156,284.12934660383826,653.0932126805744,0.8358104502332548,,,3816.18996
2025-05-06 01:00:00,2025-05-08 01:08:32,3.0,2.2754408891954983,286.12380326808614,282.44946858140463,482.9541340127913,0.8756379298975904,,,3868.60018
2025-05-06 02:00:00,2025-05-08 01:08:32,3.0,2.2754408891954983,286.12380326808614,282.44946858140463,482.9541340127913,0.8756379298975904,,,3819.53013
2025-05-06 03:00:00,2025-05-08 01:08:32,3.0,2.2754408891954983,286.12380326808614,282.44946858140463,482.9541340127913,0.8756379298975904,,,199.4652
2025-05-06 04:00:00,2025-05-08 01:08:32,3.0,2.1383838502767123,284.7636850541476,281.97927568313634,17.18938810456856,0.8872068313728564,,,202.33005
2025-05-06 05:00:00,2025-05-08 01:08:32,3.0,2.1383838502767123,284.7636850541476,281.97927568313634,17.18938810456856,0.8872068313728564,,,194.35447
2025-05-06 06:00:00,2025-05-08 01:08:32,3.0,2.1383838502767123,284.7636850541476,281.97927568313634,17.18938810456856,0.8872068313728564,,,178.2552
2025-05-06 07:00:00,2025-05-08 01:08:32,3.0,2.150668035368998,283.7167434049761,281.58269211233073,8.594476394457054,0.8897071266044224,,,166.28688
2025-05-06 08:00:00,2025-05-08 01:08:32,3.0,2.150668035368998,283.7167434049761,281.58269211233073,8.594476394457054,0.8897071266044224,,,160.3907
2025-05-06 09:00:00,2025-05-08 01:08:32,3.0,2.150668035368998,283.7167434049761,281.58269211233073,8.594476394457054,0.8897071266044224,,,153.68242
2025-05-06 10:00:00,2025-05-08 01:08:32,3.0,2.2682699932041763,284.04577102973553,281.9143697139366,0.0,0.8949646152864712,,,144.90242
2025-05-06 11:00:00,2025-05-08 01:08:32,3.0,2.2682699932041763,284.04577102973553,281.9143697139366,0.0,0.8949646152864712,,,136.95672
2025-05-06 12:00:00,2025-05-08 01:08:32,3.0,2.2682699932041763,284.04577102973553,281.9143697139366,0.0,0.8949646152864712,,,132.54111
2025-05-06 13:00:00,2025-05-08 01:08:32,3.0,3.061092580555973,289.41612466152435,283.73039289488275,4.354893152057346,0.9710371643146732,,,132.18807
