,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind,other
34,2025-04-26 10:00:00,2025-05-01 04:36:13,3.0,252.66,0.0,103.99609375,0.0,136.943359375,0.041015625,24.3447265625,27.9951171875
35,2025-04-26 11:00:00,2025-05-01 04:36:13,3.0,240.29,0.0,103.998046875,0.0,136.9716796875,0.0205078125,40.17236328125,27.99755859375
36,2025-04-26 12:00:00,2025-05-01 04:36:13,3.0,223.98,0.0,103.9990234375,0.0,136.48583984375,0.01025390625,62.086181640625,26.998779296875
37,2025-04-26 13:00:00,2025-05-01 04:36:13,3.0,210.03,0.0,103.99951171875,0.0,138.242919921875,0.005126953125,83.5430908203125,26.9993896484375
38,2025-04-26 14:00:00,2025-05-01 04:36:13,3.0,201.12,0.0,103.999755859375,0.0,136.6214599609375,1.0025634765625,100.77154541015624,26.99969482421875
39,2025-04-26 15:00:00,2025-05-01 04:36:13,3.0,185.51,0.0,103.4998779296875,0.0,136.81072998046875,4.50128173828125,132.88577270507812,27.99984741210937
40,2025-04-26 16:00:00,2025-05-01 04:36:13,3.0,167.02,0.0,103.24993896484376,0.0,136.90536499023438,8.250640869140625,177.44288635253906,27.999923706054688
41,2025-04-26 17:00:00,2025-05-01 04:36:13,3.0,160.22,0.0,103.12496948242188,0.0,136.4526824951172,11.625320434570312,190.2214431762696,26.499961853027344
42,2025-04-26 18:00:00,2025-05-01 04:36:13,3.0,158.45,0.0,103.56248474121094,0.0,137.7263412475586,13.312660217285156,197.1107215881348,27.249980926513672
43,2025-04-26 19:00:00,2025-05-01 04:36:13,3.0,156.65,0.0,103.28124237060548,0.0,136.8631706237793,14.156330108642578,202.05536079406733,27.12499046325684
44,2025-04-26 20:00:00,2025-05-01 04:36:13,3.0,160.61,0.0,103.14062118530272,0.0,137.93158531188965,13.578165054321287,190.0276803970337,27.56249523162841
45,2025-04-26 21:00:00,2025-05-01 04:36:13,3.0,162.96,0.0,103.07031059265135,0.0,138.46579265594482,14.289082527160645,180.51384019851685,27.28124761581421
46,2025-04-26 22:00:00,2025-05-01 04:36:13,3.0,165.48,0.0,103.53515529632568,0.0,136.7328963279724,14.644541263580322,174.75692009925842,27.140623807907104
47,2025-04-26 23:00:00,2025-05-01 04:36:13,3.0,165.51,0.0,103.26757764816284,0.0,137.3664481639862,14.82227063179016,174.8784600496292,27.570311903953552
