,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind,other
0,2025-04-19 00:00:00,2025-04-24 22:29:03,3.0,328.57,0.0,355.0,0.0,184.0,15.0,21.0,26.0
1,2025-04-19 01:00:00,2025-04-24 22:29:03,3.0,321.44,0.0,357.0,0.0,184.0,14.0,38.0,27.0
2,2025-04-19 02:00:00,2025-04-24 22:29:03,3.0,315.2,0.0,358.0,0.0,181.0,6.0,60.0,26.0
3,2025-04-19 03:00:00,2025-04-24 22:29:03,3.0,286.69,0.0,359.0,0.0,186.0,0.0,128.0,27.0
4,2025-04-19 04:00:00,2025-04-24 22:29:03,3.0,241.25,0.0,360.0,0.0,182.0,0.0,271.0,27.0
5,2025-04-19 05:00:00,2025-04-24 22:29:03,3.0,225.91,0.0,355.0,0.0,185.0,0.0,322.0,27.0
6,2025-04-19 06:00:00,2025-04-24 22:29:03,3.0,211.27,0.0,339.0,0.0,183.0,0.0,369.0,28.0
7,2025-04-19 07:00:00,2025-04-24 22:29:03,3.0,192.53,0.0,278.0,0.0,178.0,0.0,363.0,26.0
8,2025-04-19 08:00:00,2025-04-24 22:29:03,3.0,120.28,0.0,104.0,0.0,165.0,0.0,355.0,28.0
9,2025-04-19 09:00:00,2025-04-24 22:29:03,3.0,123.76,0.0,104.0,0.0,158.0,0.0,336.0,27.0
10,2025-04-19 10:00:00,2025-04-24 22:29:03,3.0,131.02,0.0,104.0,0.0,147.0,0.0,308.0,27.0
11,2025-04-19 11:00:00,2025-04-24 22:29:03,3.0,128.47,0.0,104.0,0.0,142.0,0.0,330.0,28.0
12,2025-04-19 12:00:00,2025-04-24 22:29:03,3.0,126.79,0.0,104.0,0.0,125.0,0.0,339.0,25.0
13,2025-04-19 13:00:00,2025-04-24 22:29:03,3.0,134.92,0.0,104.0,0.0,90.0,0.0,336.0,26.0
14,2025-04-19 14:00:00,2025-04-24 22:29:03,3.0,140.98,0.0,104.0,0.0,89.0,0.0,311.0,26.0
15,2025-04-19 15:00:00,2025-04-24 22:29:03,3.0,167.65,0.0,104.0,0.0,92.0,0.0,218.0,26.0
16,2025-04-19 16:00:00,2025-04-24 22:29:03,3.0,133.58,0.0,104.0,0.0,138.0,3.0,297.0,26.0
17,2025-04-19 17:00:00,2025-04-24 22:29:03,3.0,127.57,0.0,104.0,0.0,135.0,10.0,324.0,26.0
18,2025-04-19 18:00:00,2025-04-24 22:29:03,3.0,134.02,0.0,103.0,0.0,140.0,15.0,277.0,25.0
19,2025-04-19 19:00:00,2025-04-24 22:29:03,3.0,129.93,0.0,104.0,0.0,139.0,15.0,305.0,26.0
20,2025-04-19 20:00:00,2025-04-24 22:29:03,3.0,128.46,0.0,104.0,0.0,136.0,15.0,315.0,26.0
21,2025-04-19 21:00:00,2025-04-24 22:29:03,3.0,122.11,0.0,103.0,0.0,138.0,15.0,344.0,26.0
22,2025-04-19 22:00:00,2025-04-24 22:29:03,3.0,117.59,0.0,104.0,0.0,137.0,15.0,364.0,24.0
23,2025-04-19 23:00:00,2025-04-24 22:29:03,3.0,116.87,0.0,103.0,0.0,138.0,15.0,375.0,26.0
24,2025-04-20 00:00:00,2025-04-24 22:29:03,3.0,116.39,0.0,103.0,0.0,138.0,15.0,378.0,26.0
25,2025-04-20 01:00:00,2025-04-24 22:29:03,3.0,215.71,0.0,230.0,0.0,161.0,14.5,208.0,26.5
26,2025-04-20 02:00:00,2025-04-24 22:29:03,3.0,265.11,0.0,294.0,0.0,171.0,10.25,134.0,26.25
27,2025-04-20 03:00:00,2025-04-24 22:29:03,3.0,276.42,0.0,326.5,0.0,178.5,5.125,131.0,26.625
28,2025-04-20 04:00:00,2025-04-24 22:29:03,3.0,256.82,0.0,343.25,0.0,180.25,2.5625,201.0,26.8125
29,2025-04-20 05:00:00,2025-04-24 22:29:03,3.0,240.09,0.0,349.125,0.0,182.625,1.28125,261.5,26.90625
30,2025-04-20 06:00:00,2025-04-24 22:29:03,3.0,224.88,0.0,344.0625,0.0,182.8125,0.640625,315.25,27.453125
31,2025-04-20 07:00:00,2025-04-24 22:29:03,3.0,208.94,0.0,311.03125,0.0,180.40625,0.3203125,339.125,26.7265625
32,2025-04-20 08:00:00,2025-04-24 22:29:03,3.0,170.65,0.0,207.515625,0.0,172.703125,0.16015625,347.0625,27.36328125
33,2025-04-20 09:00:00,2025-04-24 22:29:03,3.0,149.41,0.0,155.7578125,0.0,165.3515625,0.080078125,341.53125,27.181640625
34,2025-04-20 10:00:00,2025-04-24 22:29:03,3.0,140.96,0.0,129.87890625,0.0,156.17578125,0.0400390625,324.765625,27.0908203125
35,2025-04-20 11:00:00,2025-04-24 22:29:03,3.0,134.89,0.0,116.939453125,0.0,149.087890625,0.02001953125,327.3828125,27.54541015625
36,2025-04-20 12:00:00,2025-04-24 22:29:03,3.0,130.93,0.0,110.4697265625,0.0,137.0439453125,0.010009765625,333.19140625,26.272705078125
37,2025-04-20 13:00:00,2025-04-24 22:29:03,3.0,132.84,0.0,107.23486328125,0.0,113.52197265625,0.0050048828125,334.595703125,26.1363525390625
38,2025-04-20 14:00:00,2025-04-24 22:29:03,3.0,136.72,0.0,105.617431640625,0.0,101.260986328125,0.00250244140625,322.7978515625,26.06817626953125
39,2025-04-20 15:00:00,2025-04-24 22:29:03,3.0,150.39,0.0,104.8087158203125,0.0,96.6304931640625,0.001251220703125,270.39892578125,26.034088134765625
40,2025-04-20 16:00:00,2025-04-24 22:29:03,3.0,141.43,0.0,104.40435791015624,0.0,117.31524658203124,1.5006256103515625,283.699462890625,26.01704406738281
41,2025-04-20 17:00:00,2025-04-24 22:29:03,3.0,134.1,0.0,104.20217895507812,0.0,126.15762329101562,5.750312805175781,303.8497314453125,26.008522033691406
42,2025-04-20 18:00:00,2025-04-24 22:29:03,3.0,134.06,0.0,103.60108947753906,0.0,133.0788116455078,10.37515640258789,290.42486572265625,25.504261016845703
43,2025-04-20 19:00:00,2025-04-24 22:29:03,3.0,131.95,0.0,103.80054473876952,0.0,136.0394058227539,12.687578201293944,297.7124328613281,25.75213050842285
44,2025-04-20 20:00:00,2025-04-24 22:29:03,3.0,130.17,0.0,103.90027236938477,0.0,136.01970291137695,13.843789100646973,306.35621643066406,25.876065254211422
