datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2025-05-04 00:00:00,2025-05-08 01:08:32,3.0,4.224341643546578,286.1898603003165,275.3538762062186,117.4156140452174,0.5670469313010726,,,,,,9624.53045,3816.19001,
2025-05-04 01:00:00,2025-05-08 01:08:32,3.0,4.224341643546578,286.1898603003165,275.3538762062186,117.4156140452174,0.5670469313010726,,,,,,1416.41337,43.52849,
2025-05-04 02:00:00,2025-05-08 01:08:32,3.0,4.224341643546578,286.1898603003165,275.3538762062186,117.4156140452174,0.5670469313010726,,,,,,1025.22186,44.00419,
2025-05-04 03:00:00,2025-05-08 01:08:32,3.0,4.224341643546578,286.1898603003165,275.3538762062186,117.4156140452174,0.5670469313010726,,,,,,695.35805,42.84051,
2025-05-04 04:00:00,2025-05-08 01:08:32,3.0,3.4065471816221846,284.2227493317541,275.9777845169058,117.4156140452174,0.5670469313010726,,,,,,320.22426,39.81621,
2025-05-04 05:00:00,2025-05-08 01:08:32,3.0,3.4065471816221846,284.2227493317541,275.9777845169058,117.4156140452174,0.5670469313010726,,,,,,110.16827,39.11591,
2025-05-04 06:00:00,2025-05-08 01:08:32,3.0,3.4065471816221846,284.2227493317541,275.9777845169058,117.4156140452174,0.5670469313010726,,,,,,9.30996,35.07926,
2025-05-04 07:00:00,2025-05-08 01:08:32,3.0,3.0717006648204155,282.85213698117144,276.1153264474839,58.707864388885866,1.0082167789619068,,,,,,0.0,36.03618,
2025-05-04 08:00:00,2025-05-08 01:08:32,3.0,3.0717006648204155,282.85213698117144,276.1153264474839,58.707864388885866,1.0082167789619068,,,,,,17.53107,37.56311,
2025-05-04 09:00:00,2025-05-08 01:08:32,3.0,3.0717006648204155,282.85213698117144,276.1153264474839,58.707864388885866,1.0082167789619068,,,,,,116.81279,41.57307,
