datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean
2025-05-06 00:00:00,2025-05-08 22:24:46,3.0,4.443918313355488,284.3264883561756,273.4697757690009,156.35270556778576,0.3888399269163233
2025-05-06 01:00:00,2025-05-08 22:24:46,3.0,4.443918313355488,284.3264883561756,273.4697757690009,156.35270556778576,0.3888399269163233
2025-05-06 02:00:00,2025-05-08 22:24:46,3.0,4.443918313355488,284.3264883561756,273.4697757690009,156.35270556778576,0.3888399269163233
2025-05-06 03:00:00,2025-05-08 22:24:46,3.0,4.443918313355488,284.3264883561756,273.4697757690009,156.35270556778576,0.3888399269163233
2025-05-06 04:00:00,2025-05-08 22:24:46,3.0,3.471450928269729,282.33772546981066,273.31220434446243,156.35270556778576,0.3888399269163233
2025-05-06 05:00:00,2025-05-08 22:24:46,3.0,3.471450928269729,282.33772546981066,273.31220434446243,156.35270556778576,0.3888399269163233
2025-05-06 06:00:00,2025-05-08 22:24:46,3.0,3.471450928269729,282.33772546981066,273.31220434446243,156.35270556778576,0.3888399269163233
2025-05-06 07:00:00,2025-05-08 22:24:46,3.0,2.91561306742739,280.9044192110202,273.20441729398607,78.17738505423523,0.6332054870903835
2025-05-06 08:00:00,2025-05-08 22:24:46,3.0,2.91561306742739,280.9044192110202,273.20441729398607,78.17738505423523,0.6332054870903835
2025-05-06 09:00:00,2025-05-08 22:24:46,3.0,2.91561306742739,280.9044192110202,273.20441729398607,78.17738505423523,0.6332054870903835
2025-05-06 10:00:00,2025-05-08 22:24:46,3.0,2.612614452015288,279.7374611011022,273.1593242123754,0.0,0.7932340066399877
2025-05-06 11:00:00,2025-05-08 22:24:46,3.0,2.612614452015288,279.7374611011022,273.1593242123754,0.0,0.7932340066399877
2025-05-06 12:00:00,2025-05-08 22:24:46,3.0,2.612614452015288,279.7374611011022,273.1593242123754,0.0,0.7932340066399877
2025-05-06 13:00:00,2025-05-08 22:24:46,3.0,2.998678187670861,282.0160352409947,273.4061146353363,0.0,0.9480809501133992
2025-05-06 14:00:00,2025-05-08 22:24:46,3.0,2.998678187670861,282.0160352409947,273.4061146353363,0.0,0.9480809501133992
2025-05-06 15:00:00,2025-05-08 22:24:46,3.0,2.998678187670861,282.0160352409947,273.4061146353363,0.0,0.9480809501133992
2025-05-06 16:00:00,2025-05-08 22:24:46,3.0,3.606570193758937,285.71073448604915,273.0616049277327,106.7791503314766,1.0897269945193664
2025-05-06 17:00:00,2025-05-08 22:24:46,3.0,3.606570193758937,285.71073448604915,273.0616049277327,106.7791503314766,1.0897269945193664
2025-05-06 18:00:00,2025-05-08 22:24:46,3.0,3.606570193758937,285.71073448604915,273.0616049277327,106.7791503314766,1.0897269945193664
2025-05-06 19:00:00,2025-05-08 22:24:46,3.0,4.131630625084743,288.3673880257888,272.949315223877,344.26780728726584,1.2021399542344695
2025-05-06 20:00:00,2025-05-08 22:24:46,3.0,4.131630625084743,288.3673880257888,272.949315223877,344.26780728726584,1.2021399542344695
2025-05-06 21:00:00,2025-05-08 22:24:46,3.0,4.131630625084743,288.3673880257888,272.949315223877,344.26780728726584,1.2021399542344695
2025-05-06 22:00:00,2025-05-08 22:24:46,3.0,4.33370177324244,288.7238378615988,273.2895609087728,829.1935614290828,1.3505952463488176
