datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_other_production_forecast
2025-05-06 00:00:00,2025-05-08 22:24:46,3.0,2.566024090791263,290.404282552368,283.70244998981264,0.1900801376660802,0.0072122656410007,,,,,9301.84973,
2025-05-06 01:00:00,2025-05-08 22:24:46,3.0,2.566024090791263,290.404282552368,283.70244998981264,0.1900801376660802,0.0072122656410007,,,,,288.70161,
2025-05-06 02:00:00,2025-05-08 22:24:46,3.0,2.566024090791263,290.404282552368,283.70244998981264,0.1900801376660802,0.0072122656410007,,,,,148.20015,
2025-05-06 03:00:00,2025-05-08 22:24:46,3.0,2.566024090791263,290.404282552368,283.70244998981264,0.1900801376660802,0.0072122656410007,,,,,13.13231,
2025-05-06 04:00:00,2025-05-08 22:24:46,3.0,1.98345181876416,289.03442749919805,282.8794701979184,0.1900801376660802,0.0072122656410007,,,,,0.0,
2025-05-06 05:00:00,2025-05-08 22:24:46,3.0,1.98345181876416,289.03442749919805,282.8794701979184,0.1900801376660802,0.0072122656410007,,,,,0.0,
2025-05-06 06:00:00,2025-05-08 22:24:46,3.0,1.98345181876416,289.03442749919805,282.8794701979184,0.1900801376660802,0.0072122656410007,,,,,0.0,
2025-05-06 07:00:00,2025-05-08 22:24:46,3.0,1.9386472605999487,288.3507489089535,282.4573902913661,0.0949833966465965,0.0120378765455028,,,,,0.0,
2025-05-06 08:00:00,2025-05-08 22:24:46,3.0,1.9386472605999487,288.3507489089535,282.4573902913661,0.0949833966465965,0.0120378765455028,,,,,0.0,
2025-05-06 09:00:00,2025-05-08 22:24:46,3.0,1.9386472605999487,288.3507489089535,282.4573902913661,0.0949833966465965,0.0120378765455028,,,,,0.0,
2025-05-06 10:00:00,2025-05-08 22:24:46,3.0,1.9244157037036664,290.1640821766837,283.3683116927046,0.0,0.014030423185858,,,,,0.0,
2025-05-06 11:00:00,2025-05-08 22:24:46,3.0,1.9244157037036664,290.1640821766837,283.3683116927046,0.0,0.014030423185858,,,,,0.0,
2025-05-06 12:00:00,2025-05-08 22:24:46,3.0,1.9244157037036664,290.1640821766837,283.3683116927046,0.0,0.014030423185858,,,,,93.32796,
2025-05-06 13:00:00,2025-05-08 22:24:46,3.0,2.361387302123516,296.1245101828621,284.1954996229504,20.879605349051023,0.0337332637531483,,,,,282.29408,
2025-05-06 14:00:00,2025-05-08 22:24:46,3.0,2.361387302123516,296.1245101828621,284.1954996229504,20.879605349051023,0.0337332637531483,,,,,495.91087,
2025-05-06 15:00:00,2025-05-08 22:24:46,3.0,2.361387302123516,296.1245101828621,284.1954996229504,20.879605349051023,0.0337332637531483,,,,,591.83152,
2025-05-06 16:00:00,2025-05-08 22:24:46,3.0,3.2841597067414785,298.9266566156741,284.2909384303854,494.8661761212103,0.0640434095443616,,,,,755.49999,
2025-05-06 17:00:00,2025-05-08 22:24:46,3.0,3.2841597067414785,298.9266566156741,284.2909384303854,494.8661761212103,0.0640434095443616,,,,,915.75688,
2025-05-06 18:00:00,2025-05-08 22:24:46,3.0,3.2841597067414785,298.9266566156741,284.2909384303854,494.8661761212103,0.0640434095443616,,,,,1067.37837,
2025-05-06 19:00:00,2025-05-08 22:24:46,3.0,3.539868148575893,299.3091743287522,284.7674344283067,686.6963890563127,0.0762028780101197,,,,,1140.37628,
2025-05-06 20:00:00,2025-05-08 22:24:46,3.0,3.539868148575893,299.3091743287522,284.7674344283067,686.6963890563127,0.0762028780101197,,,,,1108.02086,
2025-05-06 21:00:00,2025-05-08 22:24:46,3.0,3.539868148575893,299.3091743287522,284.7674344283067,686.6963890563127,0.0762028780101197,,,,,1000.7171,
