,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,other
0,2025-05-03 00:00:00,2025-05-08 01:08:32,3.0,369.78,1185.0,781.0,990.0,171.0,90.0,0.0
1,2025-05-03 01:00:00,2025-05-08 01:08:32,3.0,376.0,1185.0,577.0,990.0,178.0,33.0,0.0
2,2025-05-03 02:00:00,2025-05-08 01:08:32,3.0,367.36,1155.0,628.0,992.0,219.0,28.0,0.0
3,2025-05-03 03:00:00,2025-05-08 01:08:32,3.0,343.54,982.0,643.0,991.0,241.0,8.0,0.0
4,2025-05-03 04:00:00,2025-05-08 01:08:32,3.0,338.88,951.0,547.0,991.0,241.0,0.0,0.0
5,2025-05-03 05:00:00,2025-05-08 01:08:32,3.0,312.96,771.0,493.0,992.0,200.0,0.0,1.0
6,2025-05-03 06:00:00,2025-05-08 01:08:32,3.0,314.76,749.0,436.0,991.0,145.0,0.0,0.0
7,2025-05-03 07:00:00,2025-05-08 01:08:32,3.0,302.65,649.0,509.0,990.0,104.0,0.0,0.0
8,2025-05-03 08:00:00,2025-05-08 01:08:32,3.0,300.59,632.0,533.0,992.0,97.0,0.0,0.0
9,2025-05-03 09:00:00,2025-05-08 01:08:32,3.0,306.34,638.0,506.0,993.0,57.0,0.0,0.0
10,2025-05-03 10:00:00,2025-05-08 01:08:32,3.0,312.8,640.0,558.0,991.0,26.0,0.0,0.0
11,2025-05-03 11:00:00,2025-05-08 01:08:32,3.0,312.48,637.0,596.0,991.0,26.0,5.0,0.0
12,2025-05-03 12:00:00,2025-05-08 01:08:32,3.0,291.55,642.0,574.0,993.0,28.0,165.0,0.0
13,2025-05-03 13:00:00,2025-05-08 01:08:32,3.0,255.44,641.0,604.0,992.0,27.0,518.0,0.0
14,2025-05-03 14:00:00,2025-05-08 01:08:32,3.0,259.17,710.0,608.0,992.0,28.0,612.0,0.0
15,2025-05-03 15:00:00,2025-05-08 01:08:32,3.0,270.86,836.0,591.0,995.0,27.0,704.0,0.0
16,2025-05-03 16:00:00,2025-05-08 01:08:32,3.0,264.61,857.0,579.0,992.0,30.0,813.0,0.0
17,2025-05-03 17:00:00,2025-05-08 01:08:32,3.0,271.32,875.0,605.0,991.0,30.0,775.0,0.0
18,2025-05-03 18:00:00,2025-05-08 01:08:32,3.0,285.86,950.0,582.0,994.0,29.0,724.0,0.0
19,2025-05-03 19:00:00,2025-05-08 01:08:32,3.0,319.37,1124.0,607.0,992.0,30.0,625.0,0.0
20,2025-05-03 20:00:00,2025-05-08 01:08:32,3.0,336.32,1203.0,554.0,993.0,30.0,548.0,0.0
21,2025-05-03 21:00:00,2025-05-08 01:08:32,3.0,359.0,1202.0,697.0,992.0,32.0,340.0,0.0
22,2025-05-03 22:00:00,2025-05-08 01:08:32,3.0,373.37,1195.0,714.0,993.0,42.0,196.0,0.0
23,2025-05-03 23:00:00,2025-05-08 01:08:32,3.0,371.91,1192.0,555.0,993.0,163.0,85.0,0.0
24,2025-05-04 00:00:00,2025-05-08 01:08:32,3.0,371.58,1195.0,509.0,992.0,247.0,8.0,0.0
25,2025-05-04 01:00:00,2025-05-08 01:08:32,3.0,373.79,1190.0,543.0,991.0,212.5,20.5,0.0
26,2025-05-04 02:00:00,2025-05-08 01:08:32,3.0,370.54,1172.5,585.5,991.5,215.75,24.25,0.0
27,2025-05-04 03:00:00,2025-05-08 01:08:32,3.0,357.33,1077.25,614.25,991.25,228.375,16.125,0.0
28,2025-05-04 04:00:00,2025-05-08 01:08:32,3.0,348.43,1014.125,580.625,991.125,234.6875,8.0625,0.0
29,2025-05-04 05:00:00,2025-05-08 01:08:32,3.0,331.94,892.5625,536.8125,991.5625,217.34375,4.03125,0.5
30,2025-05-04 06:00:00,2025-05-08 01:08:32,3.0,323.91,820.78125,486.40625,991.28125,181.171875,2.015625,0.25
31,2025-05-04 07:00:00,2025-05-08 01:08:32,3.0,313.8,734.890625,497.703125,990.640625,142.5859375,1.0078125,0.125
32,2025-05-04 08:00:00,2025-05-08 01:08:32,3.0,307.35,683.4453125,515.3515625,991.3203125,119.79296875,0.50390625,0.0625
33,2025-05-04 09:00:00,2025-05-08 01:08:32,3.0,306.86,660.72265625,510.67578125,992.16015625,88.396484375,0.251953125,0.03125
34,2025-05-04 10:00:00,2025-05-08 01:08:32,3.0,309.81,650.361328125,534.337890625,991.580078125,57.1982421875,0.1259765625,0.015625
35,2025-05-04 11:00:00,2025-05-08 01:08:32,3.0,311.15,643.6806640625,565.1689453125,991.2900390625,41.59912109375,2.56298828125,0.0078125
