,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,other
16,2025-05-03 16:00:00,2025-05-08 01:08:32,3.0,316.62,857.0,579.0,992.0,30.0,813.0,0.0
17,2025-05-03 17:00:00,2025-05-08 01:08:32,3.0,324.0,875.0,605.0,991.0,30.0,775.0,0.0
18,2025-05-03 18:00:00,2025-05-08 01:08:32,3.0,338.33,950.0,582.0,994.0,29.0,724.0,0.0
19,2025-05-03 19:00:00,2025-05-08 01:08:32,3.0,372.96,1124.0,607.0,992.0,30.0,625.0,0.0
20,2025-05-03 20:00:00,2025-05-08 01:08:32,3.0,389.19,1203.0,554.0,993.0,30.0,548.0,0.0
21,2025-05-03 21:00:00,2025-05-08 01:08:32,3.0,415.31,1202.0,697.0,992.0,32.0,340.0,0.0
22,2025-05-03 22:00:00,2025-05-08 01:08:32,3.0,430.42,1195.0,714.0,993.0,42.0,196.0,0.0
23,2025-05-03 23:00:00,2025-05-08 01:08:32,3.0,424.71,1192.0,555.0,993.0,163.0,85.0,0.0
24,2025-05-04 00:00:00,2025-05-08 01:08:32,3.0,422.74,1195.0,509.0,992.0,247.0,8.0,0.0
25,2025-05-04 01:00:00,2025-05-08 01:08:32,3.0,426.03,1190.0,543.0,991.0,212.5,20.5,0.0
26,2025-05-04 02:00:00,2025-05-08 01:08:32,3.0,423.65,1172.5,585.5,991.5,215.75,24.25,0.0
27,2025-05-04 03:00:00,2025-05-08 01:08:32,3.0,410.77,1077.25,614.25,991.25,228.375,16.125,0.0
28,2025-05-04 04:00:00,2025-05-08 01:08:32,3.0,400.89,1014.125,580.625,991.125,234.6875,8.0625,0.0
29,2025-05-04 05:00:00,2025-05-08 01:08:32,3.0,383.15,892.5625,536.8125,991.5625,217.34375,4.03125,0.5
30,2025-05-04 06:00:00,2025-05-08 01:08:32,3.0,373.86,820.78125,486.40625,991.28125,181.171875,2.015625,0.25
31,2025-05-04 07:00:00,2025-05-08 01:08:32,3.0,364.15,734.890625,497.703125,990.640625,142.5859375,1.0078125,0.125
32,2025-05-04 08:00:00,2025-05-08 01:08:32,3.0,358.27,683.4453125,515.3515625,991.3203125,119.79296875,0.50390625,0.0625
33,2025-05-04 09:00:00,2025-05-08 01:08:32,3.0,357.9,660.72265625,510.67578125,992.16015625,88.396484375,0.251953125,0.03125
34,2025-05-04 10:00:00,2025-05-08 01:08:32,3.0,361.93,650.361328125,534.337890625,991.580078125,57.1982421875,0.1259765625,0.015625
35,2025-05-04 11:00:00,2025-05-08 01:08:32,3.0,364.37,643.6806640625,565.1689453125,991.2900390625,41.59912109375,2.56298828125,0.0078125
36,2025-05-04 12:00:00,2025-05-08 01:08:32,3.0,354.15,642.84033203125,569.58447265625,992.14501953125,34.799560546875,83.781494140625,0.00390625
37,2025-05-04 13:00:00,2025-05-08 01:08:32,3.0,329.11,641.920166015625,586.792236328125,992.072509765625,30.8997802734375,300.8907470703125,0.001953125
