datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean
2025-05-04 00:00:00,2025-05-08 01:08:32,3.0,4.68137665536922,292.7295523025747,290.34714063784224,0.0808275768839473,1.9181321766357649
2025-05-04 01:00:00,2025-05-08 01:08:32,3.0,4.68137665536922,292.7295523025747,290.34714063784224,0.0808275768839473,1.9181321766357649
2025-05-04 02:00:00,2025-05-08 01:08:32,3.0,4.68137665536922,292.7295523025747,290.34714063784224,0.0808275768839473,1.9181321766357649
2025-05-04 03:00:00,2025-05-08 01:08:32,3.0,4.68137665536922,292.7295523025747,290.34714063784224,0.0808275768839473,1.9181321766357649
2025-05-04 04:00:00,2025-05-08 01:08:32,3.0,4.709556512627128,291.956289500195,289.9500322170078,0.0808275768839473,1.9181321766357649
2025-05-04 05:00:00,2025-05-08 01:08:32,3.0,4.709556512627128,291.956289500195,289.9500322170078,0.0808275768839473,1.9181321766357649
2025-05-04 06:00:00,2025-05-08 01:08:32,3.0,4.709556512627128,291.956289500195,289.9500322170078,0.0808275768839473,1.9181321766357649
2025-05-04 07:00:00,2025-05-08 01:08:32,3.0,3.8035825632630544,290.9327230183815,289.267777030219,0.0397887950146487,4.620907457538661
2025-05-04 08:00:00,2025-05-08 01:08:32,3.0,3.8035825632630544,290.9327230183815,289.267777030219,0.0397887950146487,4.620907457538661
2025-05-04 09:00:00,2025-05-08 01:08:32,3.0,3.8035825632630544,290.9327230183815,289.267777030219,0.0397887950146487,4.620907457538661
2025-05-04 10:00:00,2025-05-08 01:08:32,3.0,3.2573985763728213,291.16800463470264,289.027198525988,0.0,6.67640714928868
2025-05-04 11:00:00,2025-05-08 01:08:32,3.0,3.2573985763728213,291.16800463470264,289.027198525988,0.0,6.67640714928868
2025-05-04 12:00:00,2025-05-08 01:08:32,3.0,3.2573985763728213,291.16800463470264,289.027198525988,0.0,6.67640714928868
2025-05-04 13:00:00,2025-05-08 01:08:32,3.0,4.757720140414477,294.961262101122,287.78007361120206,13.929967150839216,7.116470139794366
