UTC time,creation_time (UTC),version,wind
2025-04-19 00:00:00,2025-04-24 19:42:06,3.0,32.0
2025-04-19 01:00:00,2025-04-24 19:42:06,3.0,31.0
2025-04-19 02:00:00,2025-04-24 19:42:06,3.0,21.0
2025-04-19 03:00:00,2025-04-24 19:42:06,3.0,19.0
2025-04-19 04:00:00,2025-04-24 19:42:06,3.0,44.0
2025-04-19 05:00:00,2025-04-24 19:42:06,3.0,79.0
2025-04-19 06:00:00,2025-04-24 19:42:06,3.0,80.0
2025-04-19 07:00:00,2025-04-24 19:42:06,3.0,85.0
2025-04-19 08:00:00,2025-04-24 19:42:06,3.0,123.0
2025-04-19 09:00:00,2025-04-24 19:42:06,3.0,132.0
2025-04-19 10:00:00,2025-04-24 19:42:06,3.0,144.0
2025-04-19 11:00:00,2025-04-24 19:42:06,3.0,156.0
2025-04-19 12:00:00,2025-04-24 19:42:06,3.0,152.0
2025-04-19 13:00:00,2025-04-24 19:42:06,3.0,129.0
2025-04-19 14:00:00,2025-04-24 19:42:06,3.0,105.0
2025-04-19 15:00:00,2025-04-24 19:42:06,3.0,128.0
2025-04-19 16:00:00,2025-04-24 19:42:06,3.0,131.0
2025-04-19 17:00:00,2025-04-24 19:42:06,3.0,147.0
2025-04-19 18:00:00,2025-04-24 19:42:06,3.0,130.0
2025-04-19 19:00:00,2025-04-24 19:42:06,3.0,117.0
2025-04-19 20:00:00,2025-04-24 19:42:06,3.0,66.0
2025-04-19 21:00:00,2025-04-24 19:42:06,3.0,65.0
2025-04-19 22:00:00,2025-04-24 19:42:06,3.0,115.0
2025-04-19 23:00:00,2025-04-24 19:42:06,3.0,74.0
2025-04-20 00:00:00,2025-04-24 19:42:06,3.0,106.0
2025-04-20 01:00:00,2025-04-24 19:42:06,3.0,68.5
2025-04-20 02:00:00,2025-04-24 19:42:06,3.0,44.75
2025-04-20 03:00:00,2025-04-24 19:42:06,3.0,31.875
2025-04-20 04:00:00,2025-04-24 19:42:06,3.0,37.9375
2025-04-20 05:00:00,2025-04-24 19:42:06,3.0,58.46875
2025-04-20 06:00:00,2025-04-24 19:42:06,3.0,69.234375
2025-04-20 07:00:00,2025-04-24 19:42:06,3.0,77.1171875
2025-04-20 08:00:00,2025-04-24 19:42:06,3.0,100.05859375
2025-04-20 09:00:00,2025-04-24 19:42:06,3.0,116.029296875
2025-04-20 10:00:00,2025-04-24 19:42:06,3.0,130.0146484375
2025-04-20 11:00:00,2025-04-24 19:42:06,3.0,143.00732421875
2025-04-20 12:00:00,2025-04-24 19:42:06,3.0,147.503662109375
2025-04-20 13:00:00,2025-04-24 19:42:06,3.0,138.2518310546875
2025-04-20 14:00:00,2025-04-24 19:42:06,3.0,121.62591552734376
2025-04-20 15:00:00,2025-04-24 19:42:06,3.0,124.81295776367188
2025-04-20 16:00:00,2025-04-24 19:42:06,3.0,127.90647888183594
2025-04-20 17:00:00,2025-04-24 19:42:06,3.0,137.45323944091797
2025-04-20 18:00:00,2025-04-24 19:42:06,3.0,133.72661972045898
2025-04-20 19:00:00,2025-04-24 19:42:06,3.0,125.36330986022948
2025-04-20 20:00:00,2025-04-24 19:42:06,3.0,95.68165493011476
2025-04-20 21:00:00,2025-04-24 19:42:06,3.0,80.34082746505737
2025-04-20 22:00:00,2025-04-24 19:42:06,3.0,97.67041373252869
2025-04-20 23:00:00,2025-04-24 19:42:06,3.0,85.83520686626434
