datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_solar_production_forecast,avg_other_production_forecast
2025-05-04 00:00:00,2025-05-08 01:08:32,3.0,4.884439641123723,296.9208012627141,293.08608335968347,0.0147267925981288,0.3467833992730554,,,9624.53027,
2025-05-04 01:00:00,2025-05-08 01:08:32,3.0,4.884439641123723,296.9208012627141,293.08608335968347,0.0147267925981288,0.3467833992730554,,,0.0,
2025-05-04 02:00:00,2025-05-08 01:08:32,3.0,4.884439641123723,296.9208012627141,293.08608335968347,0.0147267925981288,0.3467833992730554,,,0.0,
2025-05-04 03:00:00,2025-05-08 01:08:32,3.0,4.884439641123723,296.9208012627141,293.08608335968347,0.0147267925981288,0.3467833992730554,,,0.04987,
2025-05-04 04:00:00,2025-05-08 01:08:32,3.0,4.949206255462795,296.4251704630633,292.99965078087416,0.0147267925981288,0.3467833992730554,,,0.01274,
2025-05-04 05:00:00,2025-05-08 01:08:32,3.0,4.949206255462795,296.4251704630633,292.99965078087416,0.0147267925981288,0.3467833992730554,,,0.0,
2025-05-04 06:00:00,2025-05-08 01:08:32,3.0,4.949206255462795,296.4251704630633,292.99965078087416,0.0147267925981288,0.3467833992730554,,,0.0,
2025-05-04 07:00:00,2025-05-08 01:08:32,3.0,4.369447910009822,295.9778356688857,292.907011327496,0.0068895431018844,0.870976503043153,,,0.0,
2025-05-04 08:00:00,2025-05-08 01:08:32,3.0,4.369447910009822,295.9778356688857,292.907011327496,0.0068895431018844,0.870976503043153,,,0.05637,
2025-05-04 09:00:00,2025-05-08 01:08:32,3.0,4.369447910009822,295.9778356688857,292.907011327496,0.0068895431018844,0.870976503043153,,,0.01313,
2025-05-04 10:00:00,2025-05-08 01:08:32,3.0,3.909292186885194,296.5054271543214,293.05667671469234,0.0,1.7223055325059788,,,0.0,
2025-05-04 11:00:00,2025-05-08 01:08:32,3.0,3.909292186885194,296.5054271543214,293.05667671469234,0.0,1.7223055325059788,,,0.0,
2025-05-04 12:00:00,2025-05-08 01:08:32,3.0,3.909292186885194,296.5054271543214,293.05667671469234,0.0,1.7223055325059788,,,0.0,
2025-05-04 13:00:00,2025-05-08 01:08:32,3.0,4.4671763205243655,299.1093903806038,292.3151140867347,11.92947034500568,2.577304770184833,,,0.00081,
2025-05-04 14:00:00,2025-05-08 01:08:32,3.0,4.4671763205243655,299.1093903806038,292.3151140867347,11.92947034500568,2.577304770184833,,,0.0,
2025-05-04 15:00:00,2025-05-08 01:08:32,3.0,4.4671763205243655,299.1093903806038,292.3151140867347,11.92947034500568,2.577304770184833,,,0.0,
