datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean
2025-04-29 00:00:00,2025-05-01 22:23:48,3.0,5.7666863916742575,296.2499592577336,292.52467026281965,0.0040571609495024,0.7830549312463543
2025-04-29 01:00:00,2025-05-01 22:23:48,3.0,5.7666863916742575,296.2499592577336,292.52467026281965,0.0040571609495024,0.7830549312463543
2025-04-29 02:00:00,2025-05-01 22:23:48,3.0,5.7666863916742575,296.2499592577336,292.52467026281965,0.0040571609495024,0.7830549312463543
2025-04-29 03:00:00,2025-05-01 22:23:48,3.0,5.7666863916742575,296.2499592577336,292.52467026281965,0.0040571609495024,0.7830549312463543
2025-04-29 04:00:00,2025-05-01 22:23:48,3.0,5.888276642445226,295.7752877764002,292.3257567036061,0.0040571609495024,0.7830549312463543
2025-04-29 05:00:00,2025-05-01 22:23:48,3.0,5.888276642445226,295.7752877764002,292.3257567036061,0.0040571609495024,0.7830549312463543
2025-04-29 06:00:00,2025-05-01 22:23:48,3.0,5.888276642445226,295.7752877764002,292.3257567036061,0.0040571609495024,0.7830549312463543
2025-04-29 07:00:00,2025-05-01 22:23:48,3.0,5.448507556126675,295.4631678502463,291.9973966136564,0.0020501508344333,1.066199710882721
2025-04-29 08:00:00,2025-05-01 22:23:48,3.0,5.448507556126675,295.4631678502463,291.9973966136564,0.0020501508344333,1.066199710882721
2025-04-29 09:00:00,2025-05-01 22:23:48,3.0,5.448507556126675,295.4631678502463,291.9973966136564,0.0020501508344333,1.066199710882721
2025-04-29 10:00:00,2025-05-01 22:23:48,3.0,5.674765280060414,295.9784525483042,291.93732993286096,0.0,1.2559373511409706
2025-04-29 11:00:00,2025-05-01 22:23:48,3.0,5.674765280060414,295.9784525483042,291.93732993286096,0.0,1.2559373511409706
2025-04-29 12:00:00,2025-05-01 22:23:48,3.0,5.674765280060414,295.9784525483042,291.93732993286096,0.0,1.2559373511409706
2025-04-29 13:00:00,2025-05-01 22:23:48,3.0,5.521840472206145,298.1786359667284,291.2548888937475,11.903786962317952,1.417002217895374
2025-04-29 14:00:00,2025-05-01 22:23:48,3.0,5.521840472206145,298.1786359667284,291.2548888937475,11.903786962317952,1.417002217895374
2025-04-29 15:00:00,2025-05-01 22:23:48,3.0,5.521840472206145,298.1786359667284,291.2548888937475,11.903786962317952,1.417002217895374
2025-04-29 16:00:00,2025-05-01 22:23:48,3.0,5.113650281391072,298.91458697530186,290.62408774236576,429.8870293339483,1.596889080542821
2025-04-29 17:00:00,2025-05-01 22:23:48,3.0,5.113650281391072,298.91458697530186,290.62408774236576,429.8870293339483,1.596889080542821
2025-04-29 18:00:00,2025-05-01 22:23:48,3.0,5.113650281391072,298.91458697530186,290.62408774236576,429.8870293339483,1.596889080542821
2025-04-29 19:00:00,2025-05-01 22:23:48,3.0,5.530926961531094,298.86831384897545,290.2714251356431,602.2073622735113,1.907838770727936
2025-04-29 20:00:00,2025-05-01 22:23:48,3.0,5.530926961531094,298.86831384897545,290.2714251356431,602.2073622735113,1.907838770727936
2025-04-29 21:00:00,2025-05-01 22:23:48,3.0,5.530926961531094,298.86831384897545,290.2714251356431,602.2073622735113,1.907838770727936
2025-04-29 22:00:00,2025-05-01 22:23:48,3.0,6.003008752033535,297.3343188952919,290.2226829847107,674.3765996266053,2.1413079313945325
2025-04-29 23:00:00,2025-05-01 22:23:48,3.0,6.003008752033535,297.3343188952919,290.2226829847107,674.3765996266053,2.1413079313945325
2025-04-30 00:00:00,2025-05-01 22:23:48,3.0,6.003008752033535,297.3343188952919,290.2226829847107,674.3765996266053,2.1413079313945325
2025-04-30 01:00:00,2025-05-01 22:23:48,3.0,6.609647556224316,295.8511506565534,289.64136932958326,449.3737753892162,2.380148926303322
