datetime,creation_time (UTC),version,avg_solar_production_forecast
2025-05-07T08:00:00.000000000,2025-05-08 01:08:32,3.0,75.02328
2025-05-07T09:00:00.000000000,2025-05-08 01:08:32,3.0,52.31511
2025-05-07T10:00:00.000000000,2025-05-08 01:08:32,3.0,40.64997
2025-05-07T11:00:00.000000000,2025-05-08 01:08:32,3.0,6.41675
2025-05-07T12:00:00.000000000,2025-05-08 01:08:32,3.0,14.21948
2025-05-07T13:00:00.000000000,2025-05-08 01:08:32,3.0,39.489
2025-05-07T14:00:00.000000000,2025-05-08 01:08:32,3.0,180.85739
2025-05-07T15:00:00.000000000,2025-05-08 01:08:32,3.0,566.9086
2025-05-07T16:00:00.000000000,2025-05-08 01:08:32,3.0,1012.04397
2025-05-07T17:00:00.000000000,2025-05-08 01:08:32,3.0,1339.45419
2025-05-07T18:00:00.000000000,2025-05-08 01:08:32,3.0,1564.35946
2025-05-07T19:00:00.000000000,2025-05-08 01:08:32,3.0,1734.9789
2025-05-07T20:00:00.000000000,2025-05-08 01:08:32,3.0,1696.05305
2025-05-07T21:00:00.000000000,2025-05-08 01:08:32,3.0,1727.67977
2025-05-07T22:00:00.000000000,2025-05-08 01:08:32,3.0,1724.03442
2025-05-07T23:00:00.000000000,2025-05-08 01:08:32,3.0,1697.6012
