UTC time,creation_time (UTC),version,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
2025-04-29 14:00:00,2025-05-01 15:44:10,3.0,2605.8571166992188,5422.455261230469,2017.837158203125,1.0,1343.2346801757812,128.27642822265625,19053.69647216797,43.3953857421875
2025-04-29 15:00:00,2025-05-01 15:44:10,3.0,2918.4285583496094,5822.227630615234,2017.9185791015625,1.0,1417.1173400878906,247.13821411132807,18433.348236083984,42.19769287109375
2025-04-29 16:00:00,2025-05-01 15:44:10,3.0,2936.7142791748047,5917.613815307617,2018.9592895507808,1.0,1499.0586700439453,358.56910705566406,18317.174118041992,41.09884643554688
2025-04-29 17:00:00,2025-05-01 15:44:10,3.0,3059.3571395874023,6564.806907653809,2019.9796447753904,1.0,1544.5293350219729,428.284553527832,18384.587059021,40.54942321777344
2025-04-29 18:00:00,2025-05-01 15:44:10,3.0,3167.178569793701,6998.903453826904,2019.9898223876955,1.0,1570.7646675109863,451.142276763916,18516.793529510494,40.27471160888672
2025-04-29 19:00:00,2025-05-01 15:44:10,3.0,3202.5892848968506,7150.451726913452,2024.494911193848,1.0,1600.3823337554932,489.071138381958,18920.39676475525,40.13735580444336
2025-04-29 20:00:00,2025-05-01 15:44:10,3.0,3286.7946424484253,7032.225863456726,2021.247455596924,1.0,1618.6911668777466,472.035569190979,19353.698382377625,41.56867790222168
2025-04-29 21:00:00,2025-05-01 15:44:10,3.0,3345.8973212242126,6984.112931728363,2018.123727798462,1.0,1605.8455834388733,445.5177845954895,19976.84919118881,56.78433895111084
2025-04-29 22:00:00,2025-05-01 15:44:10,3.0,3549.9486606121063,7394.556465864181,2016.061863899231,1.0,1586.9227917194366,435.7588922977448,20183.92459559441,64.89216947555542
2025-04-29 23:00:00,2025-05-01 15:44:10,3.0,3677.974330306053,7652.778232932091,2015.0309319496157,1.0,1559.9613958597183,365.3794461488724,20246.462297797203,69.44608473777771
