UTC time,wind,hydro
2025-04-19 00:00:00,1.0,1172.0
2025-04-19 01:00:00,0.0,1006.0
2025-04-19 02:00:00,0.0,1181.0
2025-04-19 03:00:00,1.0,1286.0
2025-04-19 04:00:00,2.0,1312.0
2025-04-19 05:00:00,1.0,1259.0
2025-04-19 06:00:00,3.0,1272.0
2025-04-19 07:00:00,4.0,1090.0
2025-04-19 08:00:00,5.0,1214.0
2025-04-19 09:00:00,5.0,1061.0
2025-04-19 10:00:00,4.0,1136.0
2025-04-19 11:00:00,4.0,1102.0
2025-04-19 12:00:00,4.0,833.0
2025-04-19 13:00:00,3.0,884.0
2025-04-19 14:00:00,1.0,921.0
2025-04-19 15:00:00,0.0,914.0
2025-04-19 16:00:00,0.0,1134.0
2025-04-19 17:00:00,1.0,1215.0
2025-04-19 18:00:00,1.0,746.0
2025-04-19 19:00:00,4.0,559.0
2025-04-19 20:00:00,4.0,459.0
2025-04-19 21:00:00,3.0,411.0
2025-04-19 22:00:00,1.0,388.0
2025-04-19 23:00:00,2.0,222.0
2025-04-20 00:00:00,3.0,265.0
2025-04-20 01:00:00,1.5,635.5
2025-04-20 02:00:00,0.75,908.25
2025-04-20 03:00:00,0.875,1097.125
2025-04-20 04:00:00,1.4375,1204.5625
2025-04-20 05:00:00,1.21875,1231.78125
2025-04-20 06:00:00,2.109375,1251.890625
2025-04-20 07:00:00,3.0546875,1170.9453125
2025-04-20 08:00:00,4.02734375,1192.47265625
2025-04-20 09:00:00,4.513671875,1126.736328125
2025-04-20 10:00:00,4.2568359375,1131.3681640625
2025-04-20 11:00:00,4.12841796875,1116.68408203125
2025-04-20 12:00:00,4.064208984375,974.842041015625
2025-04-20 13:00:00,3.5321044921875,929.4210205078125
2025-04-20 14:00:00,2.26605224609375,925.2105102539062
2025-04-20 15:00:00,1.133026123046875,919.6052551269531
2025-04-20 16:00:00,0.5665130615234375,1026.8026275634766
2025-04-20 17:00:00,0.7832565307617188,1120.9013137817383
2025-04-20 18:00:00,0.8916282653808594,933.4506568908691
2025-04-20 19:00:00,2.4458141326904297,746.2253284454346
2025-04-20 20:00:00,3.222907066345215,602.6126642227173
2025-04-20 21:00:00,3.1114535331726074,506.80633211135864
2025-04-20 22:00:00,2.0557267665863037,447.4031660556793
2025-04-20 23:00:00,2.027863383293152,334.70158302783966
