UTC time,creation_time (UTC),version,hydro,wind
2025-04-19 00:00:00,2025-04-24 19:42:06,3.0,1172.0,1.0
2025-04-19 01:00:00,2025-04-24 19:42:06,3.0,1006.0,0.0
2025-04-19 02:00:00,2025-04-24 19:42:06,3.0,1181.0,0.0
2025-04-19 03:00:00,2025-04-24 19:42:06,3.0,1286.0,1.0
2025-04-19 04:00:00,2025-04-24 19:42:06,3.0,1312.0,2.0
2025-04-19 05:00:00,2025-04-24 19:42:06,3.0,1259.0,1.0
2025-04-19 06:00:00,2025-04-24 19:42:06,3.0,1272.0,3.0
2025-04-19 07:00:00,2025-04-24 19:42:06,3.0,1090.0,4.0
2025-04-19 08:00:00,2025-04-24 19:42:06,3.0,1214.0,5.0
2025-04-19 09:00:00,2025-04-24 19:42:06,3.0,1061.0,5.0
2025-04-19 10:00:00,2025-04-24 19:42:06,3.0,1136.0,4.0
2025-04-19 11:00:00,2025-04-24 19:42:06,3.0,1102.0,4.0
2025-04-19 12:00:00,2025-04-24 19:42:06,3.0,833.0,4.0
2025-04-19 13:00:00,2025-04-24 19:42:06,3.0,884.0,3.0
2025-04-19 14:00:00,2025-04-24 19:42:06,3.0,921.0,1.0
2025-04-19 15:00:00,2025-04-24 19:42:06,3.0,914.0,0.0
2025-04-19 16:00:00,2025-04-24 19:42:06,3.0,1134.0,0.0
2025-04-19 17:00:00,2025-04-24 19:42:06,3.0,1215.0,1.0
2025-04-19 18:00:00,2025-04-24 19:42:06,3.0,746.0,1.0
2025-04-19 19:00:00,2025-04-24 19:42:06,3.0,559.0,4.0
2025-04-19 20:00:00,2025-04-24 19:42:06,3.0,459.0,4.0
2025-04-19 21:00:00,2025-04-24 19:42:06,3.0,411.0,3.0
2025-04-19 22:00:00,2025-04-24 19:42:06,3.0,388.0,1.0
2025-04-19 23:00:00,2025-04-24 19:42:06,3.0,222.0,2.0
2025-04-20 00:00:00,2025-04-24 19:42:06,3.0,265.0,3.0
2025-04-20 01:00:00,2025-04-24 19:42:06,3.0,635.5,1.5
2025-04-20 02:00:00,2025-04-24 19:42:06,3.0,908.25,0.75
2025-04-20 03:00:00,2025-04-24 19:42:06,3.0,1097.125,0.875
2025-04-20 04:00:00,2025-04-24 19:42:06,3.0,1204.5625,1.4375
2025-04-20 05:00:00,2025-04-24 19:42:06,3.0,1231.78125,1.21875
2025-04-20 06:00:00,2025-04-24 19:42:06,3.0,1251.890625,2.109375
2025-04-20 07:00:00,2025-04-24 19:42:06,3.0,1170.9453125,3.0546875
2025-04-20 08:00:00,2025-04-24 19:42:06,3.0,1192.47265625,4.02734375
2025-04-20 09:00:00,2025-04-24 19:42:06,3.0,1126.736328125,4.513671875
2025-04-20 10:00:00,2025-04-24 19:42:06,3.0,1131.3681640625,4.2568359375
2025-04-20 11:00:00,2025-04-24 19:42:06,3.0,1116.68408203125,4.12841796875
2025-04-20 12:00:00,2025-04-24 19:42:06,3.0,974.842041015625,4.064208984375
2025-04-20 13:00:00,2025-04-24 19:42:06,3.0,929.4210205078124,3.5321044921875
2025-04-20 14:00:00,2025-04-24 19:42:06,3.0,925.2105102539062,2.26605224609375
2025-04-20 15:00:00,2025-04-24 19:42:06,3.0,919.6052551269532,1.133026123046875
2025-04-20 16:00:00,2025-04-24 19:42:06,3.0,1026.8026275634766,0.5665130615234375
2025-04-20 17:00:00,2025-04-24 19:42:06,3.0,1120.9013137817385,0.7832565307617188
2025-04-20 18:00:00,2025-04-24 19:42:06,3.0,933.4506568908693,0.8916282653808594
2025-04-20 19:00:00,2025-04-24 19:42:06,3.0,746.2253284454346,2.4458141326904297
2025-04-20 20:00:00,2025-04-24 19:42:06,3.0,602.6126642227173,3.222907066345215
2025-04-20 21:00:00,2025-04-24 19:42:06,3.0,506.8063321113586,3.1114535331726074
2025-04-20 22:00:00,2025-04-24 19:42:06,3.0,447.4031660556793,2.055726766586304
2025-04-20 23:00:00,2025-04-24 19:42:06,3.0,334.70158302783966,2.027863383293152
