UTC time,creation_time (UTC),version,hydro
2025-04-28 00:00:00,2025-05-01 15:44:10,3.0,1158.0
2025-04-28 01:00:00,2025-05-01 15:44:10,3.0,1153.0
2025-04-28 02:00:00,2025-05-01 15:44:10,3.0,1144.0
2025-04-28 03:00:00,2025-05-01 15:44:10,3.0,1066.0
2025-04-28 04:00:00,2025-05-01 15:44:10,3.0,1032.0
2025-04-28 05:00:00,2025-05-01 15:44:10,3.0,1033.0
2025-04-28 06:00:00,2025-05-01 15:44:10,3.0,1032.0
2025-04-28 07:00:00,2025-05-01 15:44:10,3.0,1036.0
2025-04-28 08:00:00,2025-05-01 15:44:10,3.0,1029.0
2025-04-28 09:00:00,2025-05-01 15:44:10,3.0,1038.0
2025-04-28 10:00:00,2025-05-01 15:44:10,3.0,1034.0
2025-04-28 11:00:00,2025-05-01 15:44:10,3.0,1038.0
2025-04-28 12:00:00,2025-05-01 15:44:10,3.0,995.0
2025-04-28 13:00:00,2025-05-01 15:44:10,3.0,987.0
2025-04-28 14:00:00,2025-05-01 15:44:10,3.0,990.0
2025-04-28 15:00:00,2025-05-01 15:44:10,3.0,1001.0
2025-04-28 16:00:00,2025-05-01 15:44:10,3.0,992.0
2025-04-28 17:00:00,2025-05-01 15:44:10,3.0,968.0
2025-04-28 18:00:00,2025-05-01 15:44:10,3.0,970.0
2025-04-28 19:00:00,2025-05-01 15:44:10,3.0,973.0
2025-04-28 20:00:00,2025-05-01 15:44:10,3.0,943.0
2025-04-28 21:00:00,2025-05-01 15:44:10,3.0,1005.0
2025-04-28 22:00:00,2025-05-01 15:44:10,3.0,1111.0
2025-04-28 23:00:00,2025-05-01 15:44:10,3.0,1116.0
2025-04-29 00:00:00,2025-05-01 15:44:10,3.0,1147.0
2025-04-29 01:00:00,2025-05-01 15:44:10,3.0,1150.0
2025-04-29 02:00:00,2025-05-01 15:44:10,3.0,1147.0
2025-04-29 03:00:00,2025-05-01 15:44:10,3.0,1106.5
2025-04-29 04:00:00,2025-05-01 15:44:10,3.0,1069.25
2025-04-29 05:00:00,2025-05-01 15:44:10,3.0,1051.125
2025-04-29 06:00:00,2025-05-01 15:44:10,3.0,1041.5625
2025-04-29 07:00:00,2025-05-01 15:44:10,3.0,1038.78125
2025-04-29 08:00:00,2025-05-01 15:44:10,3.0,1033.890625
2025-04-29 09:00:00,2025-05-01 15:44:10,3.0,1035.9453125
2025-04-29 10:00:00,2025-05-01 15:44:10,3.0,1034.97265625
2025-04-29 11:00:00,2025-05-01 15:44:10,3.0,1036.486328125
2025-04-29 12:00:00,2025-05-01 15:44:10,3.0,1015.7431640625
2025-04-29 13:00:00,2025-05-01 15:44:10,3.0,1001.37158203125
2025-04-29 14:00:00,2025-05-01 15:44:10,3.0,995.685791015625
2025-04-29 15:00:00,2025-05-01 15:44:10,3.0,998.3428955078124
2025-04-29 16:00:00,2025-05-01 15:44:10,3.0,995.1714477539062
2025-04-29 17:00:00,2025-05-01 15:44:10,3.0,981.5857238769532
2025-04-29 18:00:00,2025-05-01 15:44:10,3.0,975.7928619384766
2025-04-29 19:00:00,2025-05-01 15:44:10,3.0,974.3964309692384
2025-04-29 20:00:00,2025-05-01 15:44:10,3.0,958.6982154846193
2025-04-29 21:00:00,2025-05-01 15:44:10,3.0,981.8491077423096
2025-04-29 22:00:00,2025-05-01 15:44:10,3.0,1046.4245538711548
2025-04-29 23:00:00,2025-05-01 15:44:10,3.0,1081.2122769355774
