UTC time,hydro
2025-04-19 00:00:00,320.0
2025-04-19 01:00:00,356.0
2025-04-19 02:00:00,449.0
2025-04-19 03:00:00,467.0
2025-04-19 04:00:00,459.0
2025-04-19 05:00:00,462.0
2025-04-19 06:00:00,390.0
2025-04-19 07:00:00,323.0
2025-04-19 08:00:00,322.0
2025-04-19 09:00:00,335.0
2025-04-19 10:00:00,321.0
2025-04-19 11:00:00,304.0
2025-04-19 12:00:00,316.0
2025-04-19 13:00:00,309.0
2025-04-19 14:00:00,306.0
2025-04-19 15:00:00,268.0
2025-04-19 16:00:00,257.0
2025-04-19 17:00:00,223.0
2025-04-19 18:00:00,202.0
2025-04-19 19:00:00,201.0
2025-04-19 20:00:00,205.0
2025-04-19 21:00:00,225.0
2025-04-19 22:00:00,218.0
2025-04-19 23:00:00,219.0
2025-04-20 00:00:00,238.0
2025-04-20 01:00:00,297.0
2025-04-20 02:00:00,373.0
2025-04-20 03:00:00,420.0
2025-04-20 04:00:00,439.5
2025-04-20 05:00:00,450.75
2025-04-20 06:00:00,420.375
2025-04-20 07:00:00,371.6875
2025-04-20 08:00:00,346.84375
2025-04-20 09:00:00,340.921875
2025-04-20 10:00:00,330.9609375
2025-04-20 11:00:00,317.48046875
2025-04-20 12:00:00,316.740234375
2025-04-20 13:00:00,312.8701171875
2025-04-20 14:00:00,309.43505859375
2025-04-20 15:00:00,288.717529296875
2025-04-20 16:00:00,272.8587646484375
2025-04-20 17:00:00,247.92938232421875
2025-04-20 18:00:00,224.96469116210938
2025-04-20 19:00:00,212.9823455810547
2025-04-20 20:00:00,208.99117279052734
2025-04-20 21:00:00,216.99558639526367
2025-04-20 22:00:00,217.49779319763184
2025-04-20 23:00:00,218.24889659881592
