UTC time,creation_time (UTC),version,nat_gas,hydro,solar,other
2025-04-28 00:00:00,2025-05-01 14:33:51,3.0,417.0,490.0,73.0,7.0
2025-04-28 01:00:00,2025-05-01 14:33:51,3.0,410.0,612.0,82.0,6.0
2025-04-28 02:00:00,2025-05-01 14:33:51,3.0,387.0,792.0,77.0,10.0
2025-04-28 03:00:00,2025-05-01 14:33:51,3.0,381.0,964.0,11.0,7.0
2025-04-28 04:00:00,2025-05-01 14:33:51,3.0,380.0,958.0,0.0,7.0
2025-04-28 05:00:00,2025-05-01 14:33:51,3.0,410.0,971.0,0.0,7.0
2025-04-28 06:00:00,2025-05-01 14:33:51,3.0,396.0,958.0,0.0,9.0
2025-04-28 07:00:00,2025-05-01 14:33:51,3.0,374.0,914.0,0.0,6.0
2025-04-28 08:00:00,2025-05-01 14:33:51,3.0,386.0,932.0,0.0,8.0
2025-04-28 09:00:00,2025-05-01 14:33:51,3.0,411.0,515.0,0.0,10.0
2025-04-28 10:00:00,2025-05-01 14:33:51,3.0,370.0,486.0,0.0,6.0
2025-04-28 11:00:00,2025-05-01 14:33:51,3.0,362.0,479.0,0.0,7.0
2025-04-28 12:00:00,2025-05-01 14:33:51,3.0,358.0,465.0,0.0,7.0
2025-04-28 13:00:00,2025-05-01 14:33:51,3.0,378.0,882.0,0.0,9.0
2025-04-28 14:00:00,2025-05-01 14:33:51,3.0,386.0,897.0,7.0,7.0
2025-04-28 15:00:00,2025-05-01 14:33:51,3.0,349.0,401.0,52.0,7.0
2025-04-28 16:00:00,2025-05-01 14:33:51,3.0,351.0,280.0,148.0,2.0
2025-04-28 17:00:00,2025-05-01 14:33:51,3.0,350.0,338.0,238.0,1.0
2025-04-28 18:00:00,2025-05-01 14:33:51,3.0,352.0,286.0,235.0,1.0
2025-04-28 19:00:00,2025-05-01 14:33:51,3.0,347.0,205.0,258.0,0.0
2025-04-28 20:00:00,2025-05-01 14:33:51,3.0,371.0,116.0,304.0,0.0
2025-04-28 21:00:00,2025-05-01 14:33:51,3.0,417.0,121.0,337.0,2.0
2025-04-28 22:00:00,2025-05-01 14:33:51,3.0,390.0,124.0,336.0,1.0
2025-04-28 23:00:00,2025-05-01 14:33:51,3.0,401.0,119.0,393.0,1.0
2025-04-29 00:00:00,2025-05-01 14:33:51,3.0,418.0,125.0,290.0,1.0
2025-04-29 01:00:00,2025-05-01 14:33:51,3.0,414.0,368.5,186.0,3.5
2025-04-29 02:00:00,2025-05-01 14:33:51,3.0,400.5,580.25,131.5,6.75
2025-04-29 03:00:00,2025-05-01 14:33:51,3.0,390.75,772.125,71.25,6.875
2025-04-29 04:00:00,2025-05-01 14:33:51,3.0,385.375,865.0625,35.625,6.9375
2025-04-29 05:00:00,2025-05-01 14:33:51,3.0,397.6875,918.03125,17.8125,6.96875
2025-04-29 06:00:00,2025-05-01 14:33:51,3.0,396.84375,938.015625,8.90625,7.984375
2025-04-29 07:00:00,2025-05-01 14:33:51,3.0,385.421875,926.0078125,4.453125,6.9921875
2025-04-29 08:00:00,2025-05-01 14:33:51,3.0,385.7109375,929.00390625,2.2265625,7.49609375
2025-04-29 09:00:00,2025-05-01 14:33:51,3.0,398.35546875,722.001953125,1.11328125,8.748046875
2025-04-29 10:00:00,2025-05-01 14:33:51,3.0,384.177734375,604.0009765625,0.556640625,7.3740234375
2025-04-29 11:00:00,2025-05-01 14:33:51,3.0,373.0888671875,541.50048828125,0.2783203125,7.18701171875
2025-04-29 12:00:00,2025-05-01 14:33:51,3.0,365.54443359375,503.250244140625,0.13916015625,7.093505859375
2025-04-29 13:00:00,2025-05-01 14:33:51,3.0,371.772216796875,692.6251220703125,0.069580078125,8.0467529296875
2025-04-29 14:00:00,2025-05-01 14:33:51,3.0,378.8861083984375,794.8125610351562,3.5347900390625,7.52337646484375
2025-04-29 15:00:00,2025-05-01 14:33:51,3.0,363.9430541992188,597.9062805175781,27.76739501953125,7.261688232421875
2025-04-29 16:00:00,2025-05-01 14:33:51,3.0,357.4715270996094,438.95314025878906,87.88369750976562,4.6308441162109375
2025-04-29 17:00:00,2025-05-01 14:33:51,3.0,353.7357635498047,388.4765701293945,162.9418487548828,2.8154220581054688
2025-04-29 18:00:00,2025-05-01 14:33:51,3.0,352.86788177490234,337.23828506469727,198.9709243774414,1.9077110290527344
2025-04-29 19:00:00,2025-05-01 14:33:51,3.0,349.9339408874512,271.11914253234863,228.4854621887207,0.9538555145263672
2025-04-29 20:00:00,2025-05-01 14:33:51,3.0,360.4669704437256,193.55957126617432,266.24273109436035,0.4769277572631836
2025-04-29 21:00:00,2025-05-01 14:33:51,3.0,388.7334852218628,157.27978563308716,301.6213655471802,1.2384638786315918
2025-04-29 22:00:00,2025-05-01 14:33:51,3.0,389.3667426109314,140.63989281654358,318.8106827735901,1.119231939315796
2025-04-29 23:00:00,2025-05-01 14:33:51,3.0,395.1833713054657,129.8199464082718,355.90534138679504,1.059615969657898
